"0" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15"
"Limch1" 0.113207547169811 0 0.161434977578475 0.371287128712871 0.12751677852349 0 0.420168067226891 0 0.762886597938144 0.277777777777778 0.569230769230769 0 1.13636363636364 0.866666666666667 0.576923076923077 0
"Herc3" 0.0377358490566038 0.032 0.031390134529148 0.0247524752475248 0.0604026845637584 0.0616438356164384 0 0.0173913043478261 0.11340206185567 0 0.0153846153846154 0 0.0227272727272727 0 0 0
"B4galt6" 0.0150943396226415 0.048 0.0807174887892377 0.133663366336634 0.0469798657718121 0.267123287671233 0.0588235294117647 0.443478260869565 0.195876288659794 0.0555555555555556 0.184615384615385 0.078125 0.113636363636364 0.0333333333333333 0.269230769230769 0
"Robo2" 0 0 0 0 0 0.00684931506849315 0 0 0.0206185567010309 0.0833333333333333 0.0153846153846154 0 0 0 0 0
"Arhgef7" 0.0754716981132075 0.088 0.134529147982063 0.128712871287129 0.161073825503356 0.143835616438356 0.142857142857143 0.0695652173913043 0.175257731958763 0.722222222222222 0.323076923076923 0.015625 0.159090909090909 0.0666666666666667 0.115384615384615 0.0952380952380952
"Emid1" 0.0113207547169811 0.012 0.0224215246636771 0.0148514851485149 0 0.00684931506849315 0 0 0.0103092783505155 0 0 0 0 0.4 0 0
"Apex2" 0.0264150943396226 0.06 0.031390134529148 0.0544554455445545 0.0134228187919463 0.0410958904109589 0.0588235294117647 0.00869565217391304 0.0309278350515464 0.0138888888888889 0.0153846153846154 0.015625 0.0681818181818182 0.0666666666666667 0.0769230769230769 0.0476190476190476
"Zfp273" 0.00754716981132075 0.004 0.00896860986547085 0.00495049504950495 0.0268456375838926 0 0 0 0.0309278350515464 0 0 0 0 0.0333333333333333 0.0769230769230769 0
"Dock4" 0.0830188679245283 0.048 0.0852017937219731 0.0396039603960396 0.00671140939597315 0.102739726027397 0.176470588235294 0.0521739130434783 0.0206185567010309 0.0277777777777778 0.230769230769231 0.078125 0.0909090909090909 0.166666666666667 0 0.0476190476190476
"Whrn" 0 0.004 0.0403587443946188 0.0544554455445545 0 0 0 0 0.0618556701030928 0 0 0 0.0454545454545455 0 0 0
"Acaa1a" 0.0981132075471698 0.228 0.358744394618834 0.400990099009901 0.416107382550336 0.506849315068493 0.436974789915966 0.426086956521739 0.556701030927835 0.236111111111111 0.353846153846154 0.078125 0.454545454545455 0.433333333333333 0.230769230769231 0
"Ydjc" 0.00377358490566038 0.02 0.0224215246636771 0.0247524752475248 0.00671140939597315 0.0273972602739726 0 0.0173913043478261 0.0103092783505155 0 0 0 0 0 0.115384615384615 0
"Setd4" 0.0264150943396226 0.068 0.031390134529148 0.0693069306930693 0.0536912751677852 0.0205479452054795 0.0672268907563025 0.0260869565217391 0.0824742268041237 0.0138888888888889 0.0153846153846154 0 0 0.1 0.0384615384615385 0
"9930021J03Rik" 0.00754716981132075 0.116 0.130044843049327 0.0792079207920792 0.0805369127516778 0.0684931506849315 0.100840336134454 0.0956521739130435 0.0927835051546392 0.0277777777777778 0.0769230769230769 0.015625 0.136363636363636 0.1 0.153846153846154 0
"Ubxn4" 0.135849056603774 0.264 0.394618834080717 0.410891089108911 0.375838926174497 0.479452054794521 0.453781512605042 0.382608695652174 0.65979381443299 0.611111111111111 0.630769230769231 0.25 0.613636363636364 0.7 0.653846153846154 0.0476190476190476
"Snap47" 0.0452830188679245 0.096 0.233183856502242 0.405940594059406 0.214765100671141 0.0616438356164384 0.168067226890756 0.0173913043478261 0.474226804123711 0.0416666666666667 0.230769230769231 0 0.181818181818182 0.466666666666667 0.461538461538462 0
"Sbf1" 0.0415094339622641 0.024 0.0493273542600897 0.0495049504950495 0.0536912751677852 0 0.0840336134453781 0.0869565217391304 0.0721649484536082 0 0.0153846153846154 0 0.0681818181818182 0.133333333333333 0.0384615384615385 0
"Ckap5" 0.0150943396226415 0.04 0.10762331838565 0.108910891089109 0.0939597315436242 0.0958904109589041 0.109243697478992 0.121739130434783 0.175257731958763 0.0138888888888889 0.0461538461538462 0.015625 0.181818181818182 0.1 0.115384615384615 0
"Stambp" 0.0150943396226415 0.048 0.0807174887892377 0.113861386138614 0.0939597315436242 0.0821917808219178 0.0168067226890756 0.0521739130434783 0.185567010309278 0.0277777777777778 0.0769230769230769 0.03125 0.136363636363636 0.0333333333333333 0.0384615384615385 0
"Igf2bp1" 0 0.004 0.0134529147982063 0.0099009900990099 0.0201342281879195 0.0205479452054795 0.00840336134453781 0.00869565217391304 0.0309278350515464 0 0.0153846153846154 0 0 0.0333333333333333 0.0769230769230769 0
"Fbxo5" 0.00377358490566038 0 0.00448430493273543 0.00495049504950495 0.0201342281879195 0 0 0.0260869565217391 0.0103092783505155 0 0.0153846153846154 0.03125 0 0 0 0
"Rnf170" 0 0.032 0.0538116591928251 0.103960396039604 0.100671140939597 0.0479452054794521 0.0504201680672269 0.0695652173913043 0.0515463917525773 0 0.107692307692308 0 0.0454545454545455 0.166666666666667 0.0769230769230769 0
"Usp24" 0.0528301886792453 0.056 0.062780269058296 0.0247524752475248 0.0671140939597315 0.0547945205479452 0.092436974789916 0.11304347826087 0.0412371134020618 0.0138888888888889 0.0923076923076923 0.015625 0.0454545454545455 0.133333333333333 0.115384615384615 0
"Mcmbp" 0.162264150943396 0.204 0.197309417040359 0.188118811881188 0.140939597315436 0.232876712328767 0.26890756302521 0.269565217391304 0.34020618556701 0.236111111111111 0.307692307692308 0.203125 0.340909090909091 0.266666666666667 0.307692307692308 0.142857142857143
"Agl" 0.0641509433962264 0.08 0.103139013452915 0.103960396039604 0.0939597315436242 0.123287671232877 0.109243697478992 0.0608695652173913 0.11340206185567 0.0416666666666667 0.0615384615384615 0.03125 0.159090909090909 0.0666666666666667 0.0384615384615385 0
"Svil" 0.105660377358491 0.3 0.439461883408072 0.351485148514851 0.322147651006711 0.212328767123288 0.386554621848739 0.147826086956522 0.432989690721649 0.0694444444444444 0.369230769230769 0.015625 0.840909090909091 0.133333333333333 0.230769230769231 0
"Scn2b" 0.0113207547169811 0.004 0.0269058295964126 0.0643564356435643 0.0335570469798658 0.0205479452054795 0.0336134453781513 0.0173913043478261 0.0927835051546392 0 0.0153846153846154 0 0.0681818181818182 0 0.0769230769230769 0
"Myo5a" 0.0264150943396226 0.072 0.0672645739910314 0.0940594059405941 0.0604026845637584 0.287671232876712 0.0504201680672269 0.443478260869565 0.134020618556701 0 0.0153846153846154 0.015625 0.0454545454545455 0.0333333333333333 0.0384615384615385 0
"Sppl3" 0.0188679245283019 0.068 0.0448430493273543 0.133663366336634 0.0805369127516778 0.0616438356164384 0.0840336134453782 0.0782608695652174 0.144329896907216 0.0277777777777778 0.107692307692308 0.09375 0.136363636363636 0.1 0.192307692307692 0
"Zfp638" 0.0188679245283019 0.188 0.192825112107623 0.168316831683168 0.214765100671141 0.157534246575342 0.218487394957983 0.2 0.185567010309278 0.194444444444444 0.215384615384615 0.09375 0.136363636363636 0.2 0.0384615384615385 0.0476190476190476
"Dohh" 0.0943396226415094 0.12 0.170403587443946 0.242574257425743 0.181208053691275 0.321917808219178 0.168067226890756 0.191304347826087 0.237113402061856 0.208333333333333 0.446153846153846 0.015625 0.386363636363636 0.266666666666667 0.269230769230769 0
"Ctc1" 0 0.052 0.0358744394618834 0.0396039603960396 0.0604026845637584 0.0684931506849315 0.0252100840336134 0.0782608695652174 0.0824742268041237 0 0.0153846153846154 0 0.0227272727272727 0.0333333333333333 0.115384615384615 0
"Plcb4" 0.060377358490566 0.048 0.10762331838565 0.138613861386139 0.12751677852349 0 0.0588235294117647 0 0.288659793814433 0.680555555555555 0.353846153846154 0 1.20454545454545 0.133333333333333 0.0769230769230769 0
"Lrig3" 0.00754716981132075 0.048 0.20627802690583 0.0841584158415842 0.0604026845637584 0.0205479452054794 0.134453781512605 0 0.0206185567010309 0.0555555555555556 0.0153846153846154 0 0 0.0333333333333333 0.0384615384615385 0
"Trak1" 0.0113207547169811 0.056 0.0986547085201794 0.113861386138614 0.100671140939597 0.116438356164384 0.151260504201681 0.165217391304348 0.0824742268041237 0.0833333333333333 0.107692307692308 0.03125 0.0681818181818182 0.1 0.115384615384615 0
"Smarcc1" 0.0452830188679245 0.112 0.0852017937219731 0.168316831683168 0.134228187919463 0.136986301369863 0.176470588235294 0.147826086956522 0.175257731958763 0.0277777777777778 0.107692307692308 0.03125 0.0681818181818182 0.166666666666667 0.0769230769230769 0
