"0" "1" "2" "3" "4" "5"
"Limch1" 0.00970873786407767 0 0.0263157894736842 0.181818181818182 0.178571428571429 0
"Herc3" 0.0194174757281553 0 0 0.0363636363636364 0.0357142857142857 0.0555555555555556
"B4galt6" 0.0194174757281553 0.0375 0 0 0.0357142857142857 0.0555555555555556
"Arhgef7" 0.029126213592233 0.0125 0 0.0545454545454545 0.0357142857142857 0
"Dock4" 0.0194174757281553 0.0125 0 0.0363636363636364 0 0
"Acaa1a" 0.281553398058252 0.1375 0.0657894736842105 0.0727272727272727 0.0714285714285714 0
"9930021J03Rik" 0.029126213592233 0.05 0.0526315789473684 0 0 0
"Ubxn4" 0.155339805825243 0.05 0.0789473684210526 0.109090909090909 0.142857142857143 0.277777777777778
"Snap47" 0.087378640776699 0 0.105263157894737 0.0181818181818182 0.0357142857142857 0.0555555555555556
"Sbf1" 0.0194174757281553 0.025 0 0.0727272727272727 0 0
"Ckap5" 0.00970873786407767 0 0.0131578947368421 0 0 0.0555555555555556
"Stambp" 0.029126213592233 0.0125 0.0263157894736842 0.0181818181818182 0 0
"Rnf170" 0.0194174757281553 0.0875 0.0526315789473684 0.0181818181818182 0 0
"Usp24" 0.0388349514563107 0.0125 0.0263157894736842 0.0363636363636364 0.0357142857142857 0
"Mcmbp" 0.16504854368932 0.15 0.0263157894736842 0.0181818181818182 0.0357142857142857 0.222222222222222
"Agl" 0.0388349514563107 0.0375 0 0.0181818181818182 0.0714285714285714 0
"Svil" 0.320388349514563 0.15 0.25 0.0363636363636364 0.178571428571429 0.0555555555555556
"Myo5a" 0.0388349514563107 0.0125 0.0131578947368421 0.0545454545454545 0 0
"Sppl3" 0.0679611650485437 0.0125 0.0921052631578947 0.0363636363636364 0 0.0555555555555556
"Zfp638" 0.087378640776699 0.0125 0.0394736842105263 0.0545454545454545 0 0.0555555555555556
"Dohh" 0.0485436893203883 0.0875 0.0789473684210526 0.0727272727272727 0.0357142857142857 0
"Plcb4" 0.0485436893203883 0 0.0263157894736842 0.0545454545454545 0.0357142857142857 0.111111111111111
"Lrig3" 0.029126213592233 0 0.0263157894736842 0 0.0357142857142857 0
"Smarcc1" 0.0194174757281553 0.0125 0.0263157894736842 0 0.142857142857143 0
"Adam33" 0.0388349514563107 0.0375 0.0131578947368421 0 0.142857142857143 0
"Ncoa2" 0.0388349514563107 0.025 0 0.0363636363636364 0.0357142857142857 0
"Ccdc137" 0.0194174757281553 0 0 0.0545454545454545 0.0357142857142857 0.166666666666667
"Mapre3" 0.058252427184466 0 0.0921052631578947 0.0181818181818182 0.0357142857142857 0
"Frmd4a" 0.058252427184466 0.05 0 0.0363636363636364 0 0
"Atp6v0a2" 0.00970873786407767 0.0375 0.0263157894736842 0 0 0
"Dlg1" 0.029126213592233 0.0375 0.0263157894736842 0.0363636363636364 0.0714285714285714 0
"Txlna" 0.0776699029126214 0.0125 0.0263157894736842 0.0181818181818182 0 0
"Inpp4a" 0.116504854368932 0.1875 0.0263157894736842 0 0.107142857142857 0.388888888888889
"Ccdc114" 0.0194174757281553 0.025 0 0.0181818181818182 0.0357142857142857 0
"Eml2" 0.00970873786407767 0.0625 0.0131578947368421 0 0.0714285714285714 0
"Pfdn6" 0.174757281553398 0.0875 0.157894736842105 0.109090909090909 0.142857142857143 0.0555555555555556
"Cep128" 0.0194174757281553 0.0125 0 0 0 0
"Nek1" 0.058252427184466 0 0 0.0545454545454545 0 0
"Ccar2" 0.00970873786407767 0.0125 0 0.0363636363636364 0 0
"Phf3" 0.0679611650485437 0.0375 0.0263157894736842 0.0363636363636364 0 0
"Pcbp2" 0.087378640776699 0.1 0.0789473684210526 0.0545454545454545 0.0714285714285714 0
"Golph3" 0.0970873786407767 0.0875 0.0921052631578947 0.181818181818182 0 0.111111111111111
"Luc7l3" 0.155339805825243 0.0375 0.0394736842105263 0.2 0.0357142857142857 0
"Ypel3" 0.621359223300971 0.3875 0.197368421052632 0.309090909090909 0.178571428571429 0.388888888888889
"Mapk8" 0 0.0375 0 0.0181818181818182 0 0.166666666666667
"Amn1" 0.116504854368932 0.075 0 0.127272727272727 0 0
"Prss23" 0.563106796116505 0 0.315789473684211 0.0727272727272727 0.25 0.0555555555555556
"Znhit6" 0.0194174757281553 0 0 0 0.142857142857143 0.0555555555555556
"Ndufb5" 0.359223300970874 0.2875 0.25 0.4 0.321428571428571 0.5
"Ramp2" 0.485436893203883 0.1 0.223684210526316 1.45454545454545 0 0.111111111111111
"Camk2g" 0.0485436893203883 0.0125 0.0131578947368421 0.0181818181818182 0.0714285714285714 0
