"0" "1" "2" "3" "4" "5" "6" "7" "8"
"Limch1" 0.0384615384615385 0 0.1 0.263157894736842 0 0.575757575757576 0.521739130434783 0 0
"Herc3" 0.00641025641025641 0.0263157894736842 0.0444444444444444 0.0526315789473684 0.0263157894736842 0.0606060606060606 0.0869565217391304 0 0
"B4galt6" 0.0384615384615385 0.184210526315789 0.0111111111111111 0.0526315789473684 0.236842105263158 0.0909090909090909 0.0434782608695652 0 0
"Arhgef7" 0.0512820512820513 0.087719298245614 0.0222222222222222 0.184210526315789 0.131578947368421 0.0909090909090909 0.304347826086957 0.0526315789473684 0.0714285714285714
"Apex2" 0.0192307692307692 0.0087719298245614 0.0111111111111111 0.0263157894736842 0.0526315789473684 0 0.0434782608695652 0 0.0714285714285714
"Dock4" 0.0384615384615385 0.087719298245614 0.0888888888888889 0.236842105263158 0.184210526315789 0.0303030303030303 0.347826086956522 0.105263157894737 0
"Acaa1a" 0.282051282051282 0.368421052631579 0.177777777777778 0.368421052631579 0.421052631578947 0.545454545454545 0.434782608695652 0.526315789473684 0.142857142857143
"Ydjc" 0 0.043859649122807 0.0222222222222222 0 0.0526315789473684 0 0.0434782608695652 0 0.0714285714285714
"Setd4" 0.032051282051282 0.0263157894736842 0.0111111111111111 0 0.0263157894736842 0.0303030303030303 0 0 0.142857142857143
"9930021J03Rik" 0.032051282051282 0.043859649122807 0.0333333333333333 0.131578947368421 0.0789473684210526 0.0606060606060606 0.0869565217391304 0 0
"Ubxn4" 0.25 0.350877192982456 0.188888888888889 0.368421052631579 0.578947368421053 0.242424242424242 0.565217391304348 0.473684210526316 0.142857142857143
"Snap47" 0.121794871794872 0.043859649122807 0.0222222222222222 0.0789473684210526 0.0263157894736842 0.151515151515152 0.217391304347826 0 0.142857142857143
"Sbf1" 0.0512820512820513 0.0789473684210526 0.0222222222222222 0.0789473684210526 0.105263157894737 0.121212121212121 0.0434782608695652 0 0
"Ckap5" 0.0256410256410256 0.0526315789473684 0.0111111111111111 0.0526315789473684 0.0789473684210526 0.151515151515151 0 0 0
"Stambp" 0.0448717948717949 0.043859649122807 0.0111111111111111 0.0789473684210526 0 0.0303030303030303 0.130434782608696 0 0
"Fbxo5" 0.0256410256410256 0.0263157894736842 0.0444444444444444 0.0263157894736842 0.0263157894736842 0 0 0 0
"Rnf170" 0.0705128205128205 0.0263157894736842 0.0222222222222222 0.0789473684210526 0.0263157894736842 0.0909090909090909 0.0434782608695652 0 0.0714285714285714
"Usp24" 0.0705128205128205 0.0526315789473684 0 0.0789473684210526 0.0526315789473684 0.0606060606060606 0.0869565217391304 0 0.142857142857143
"Mcmbp" 0.147435897435897 0.280701754385965 0.0777777777777778 0.5 0.342105263157895 0.363636363636364 0.260869565217391 0.210526315789474 0.285714285714286
"Agl" 0.153846153846154 0.149122807017544 0 0.0789473684210526 0.0789473684210526 0.121212121212121 0.0869565217391304 0.157894736842105 0.0714285714285714
"Svil" 0.358974358974359 0.131578947368421 0.166666666666667 0.368421052631579 0.0789473684210526 0.484848484848485 0.217391304347826 0.421052631578947 0.0714285714285714
"Scn2b" 0.0192307692307692 0.0087719298245614 0.0111111111111111 0.0526315789473684 0.105263157894737 0.0303030303030303 0 0.0526315789473684 0
