p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
1.36890923910825e-249	1.31635606546508	1	0.741	2.38190207604835e-245	0	Pf4
2.56815281464143e-212	1.03356103612345	0.998	0.584	4.46858589747609e-208	0	Cbr2
1.45772816677304e-209	1.00058895182752	1	0.729	2.53644701018509e-205	0	Maf
3.48152618489689e-209	1.07290135726661	0.998	0.606	6.0578555617206e-205	0	F13a1
8.15557805529075e-188	0.930412839261968	0.971	0.568	1.41907058162059e-183	0	Igfbp4
1.29337624486693e-182	0.91216850782084	0.993	0.548	2.25047466606846e-178	0	Folr2
9.03206394307777e-178	0.815253085164696	0.996	0.854	1.57157912609553e-173	0	Dab2
1.74704601183426e-176	0.860849477854015	0.97	0.684	3.03986006059161e-172	0	Stab1
1.60975109286509e-167	1.01908597475166	0.868	0.3	2.80096690158526e-163	0	Lyve1
2.1162138440491e-161	0.915058519005669	0.93	0.446	3.68221208864544e-157	0	Ltc4s
8.63431847248621e-158	0.798176977750203	0.998	0.733	1.5023714142126e-153	0	Mrc1
1.4761248661539e-155	0.782697679571199	0.986	0.621	2.56845726710779e-151	0	Gas6
1.28175645017524e-150	0.704205708786142	0.986	0.776	2.23025622330492e-146	0	Cltc
1.26888247728586e-142	0.780549049575164	0.934	0.614	2.2078555104774e-138	0	Rnase4
1.04327760791959e-132	0.673339326990191	0.977	0.734	1.81530303778008e-128	0	Blvrb
1.17688131171136e-131	1.04833677435912	0.75	0.244	2.04777348237777e-127	0	Ccl24
3.13663490844669e-129	0.722306445746053	0.964	0.633	5.45774474069724e-125	0	Txnip
4.46149183919493e-129	0.873735521060793	0.834	0.347	7.76299580019917e-125	0	Cd163
1.52125576147328e-127	0.75162091642972	0.923	0.544	2.6469850249635e-123	0	Hpgd
7.98589030166939e-121	0.722180923042116	0.982	0.752	1.38954491249047e-116	0	Ninj1
5.16616576532954e-114	0.667815417892813	0.95	0.593	8.98912843167339e-110	0	Cfh
2.4677817809434e-101	0.619745538947694	0.845	0.469	4.29394029884151e-97	0	Wwp1
5.66941087130892e-98	0.594173614585848	0.979	0.773	9.86477491607752e-94	0	Fcgrt
1.28696967791344e-97	0.514255325000891	1	0.936	2.23932723956938e-93	0	Serinc3
1.2483972507843e-90	0.538956528484092	1	0.933	2.17221121636468e-86	0	C1qc
7.75223921882745e-88	0.538816643957716	0.996	0.897	1.34888962407598e-83	0	Trf
2.97306177548705e-86	0.459734250596131	1	0.928	5.17312748934748e-82	0	Csf1r
5.44295803516395e-85	0.569954861903709	0.925	0.727	9.47074698118527e-81	0	Snx2
7.9198901028281e-82	0.529519785422074	1	0.939	1.37806087789209e-77	0	C1qa
1.04389523047425e-81	0.578809141212774	0.848	0.447	1.8163777010252e-77	0	C4b
1.95671849502206e-81	0.46371429587024	1	0.911	3.40469018133838e-77	0	Fcgr3
8.60681859541351e-77	0.509044397392332	0.836	0.518	1.49758643560195e-72	0	Smagp
2.10927595424004e-76	0.479137870781918	0.945	0.727	3.67014016037766e-72	0	Glul
3.36477584268004e-76	0.666145791872515	0.998	0.89	5.85470996626327e-72	0	Ifi27l2a
7.61918132724231e-76	0.499371780091834	0.941	0.737	1.32573755094016e-71	0	Mef2c
4.2917747875638e-73	0.507925921994044	0.971	0.71	7.46768813036101e-69	0	Fcrls
3.16150347658253e-72	0.420003042245705	0.507	0.148	5.50101604925361e-68	0	Timd4
2.27584825684409e-71	0.499487715400062	0.898	0.653	3.95997596690871e-67	0	Ap2a2
3.02031667236228e-71	0.506992309954997	0.629	0.269	5.25535100991036e-67	0	Ang
1.55429606678531e-70	0.516358322165011	0.825	0.498	2.70447515620644e-66	0	Tmcc1
2.01616720212248e-70	0.426231706977116	1	0.884	3.50813093169311e-66	0	Cd81
1.67450606046068e-69	0.563935962017283	0.789	0.524	2.91364054520158e-65	0	Tsc22d3
1.77256046992011e-69	0.470219112073815	1	0.899	3.08425521766099e-65	0	Ly6e
3.63261266402632e-68	0.425808858791788	0.564	0.207	6.32074603540581e-64	0	Grap
4.49731219280252e-68	0.360457908305755	1	1	7.82532321547638e-64	0	Cst3
1.34412302286331e-67	0.39843664285464	1	0.999	2.33877405978216e-63	0	Itm2b
1.18226268994854e-66	0.475742053579277	0.789	0.575	2.05713708051047e-62	0	Snx6
3.90647301392636e-66	0.381275336473981	1	0.992	6.79726304423186e-62	0	Clta
5.61173193146801e-65	0.458166449985172	0.925	0.631	9.76441356075434e-61	0	Igf1
3.90653950591988e-64	0.531588638084411	0.688	0.312	6.79737874030059e-60	0	Cd36
1.24064713117102e-63	0.395564055734715	0.993	0.943	2.15872600823757e-59	0	Rgs10
1.79542736207068e-63	0.501903240447526	0.459	0.135	3.12404361000299e-59	0	Tslp
4.04774123336375e-63	0.413597606015098	1	0.958	7.04306974605293e-59	0	Ctsc
1.86986518043973e-62	0.50070895082447	0.702	0.37	3.25356541396512e-58	0	Gpr34
2.39080623269021e-61	0.444718094389262	0.962	0.765	4.16000284488096e-57	0	Gas7
2.05670464006354e-60	0.417542418487386	0.975	0.858	3.57866607371056e-56	0	Ehd4
4.62285641416751e-60	0.433545464539517	0.948	0.752	8.04377016065148e-56	0	Ms4a6b
4.68670134803453e-60	0.438196952445749	0.721	0.373	8.15486034558008e-56	0	Slco2b1
7.17294040994352e-60	0.444063066232784	0.586	0.242	1.24809163133017e-55	0	Sult1a1
4.95599042966405e-59	0.446411072732804	0.67	0.336	8.62342334761544e-55	0	Itsn1
7.46316674437312e-59	0.460896042700399	0.657	0.297	1.29859101352092e-54	0	Fxyd2
1.01685808018565e-58	0.429429575612205	0.896	0.693	1.76933305952303e-54	0	Cd302
3.2354958514741e-58	0.258725960138632	1	1	5.62976278156493e-54	0	Rps29
4.9977872335665e-58	0.393012354805387	0.911	0.61	8.69614978640571e-54	0	Pmp22
2.70149877769063e-55	0.366648146554319	0.993	0.938	4.70060787318169e-51	0	Ptpn18
6.79783254889385e-55	0.476627411580901	0.638	0.331	1.18282286350753e-50	0	Dusp6
1.00432081919413e-54	0.354248415481938	0.982	0.825	1.74751822539779e-50	0	Timp2
1.77174747662687e-54	0.406618899723187	0.579	0.243	3.08284060933075e-50	0	Selenbp1
2.03387581982954e-54	0.340251735857963	0.998	0.94	3.5389439265034e-50	0	Lrp4
3.25221790690827e-54	0.414862163786422	0.62	0.284	5.65885915802038e-50	0	Stard8
4.98675775566593e-54	0.41559739869509	1	0.982	8.67695849485871e-50	0	Lyz2
2.3610453632321e-53	0.315256143108302	1	0.982	4.10821893202385e-49	0	Ankrd44
2.43609353961107e-53	0.417608966065601	0.791	0.559	4.23880275892325e-49	0	Bin1
3.22300660713284e-53	0.444152777519758	0.888	0.594	5.60803149641114e-49	0	Mgl2
3.76938850942284e-53	0.349895366976755	0.996	0.903	6.55873600639574e-49	0	Ifitm3
5.57400791311895e-53	0.440124301327592	0.691	0.386	9.69877376882698e-49	0	Lyl1
