"0" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10"
"Limch1" 1.58255451713396 0.444067796610169 0.825531914893617 1.02620087336245 1.21800947867299 1.24683544303797 0.25531914893617 0.336065573770492 0.915254237288135 0.48780487804878 0.113636363636364
"Herc3" 0.0809968847352025 0.0542372881355932 0.0638297872340425 0.0960698689956332 0.104265402843602 0.107594936708861 0.0638297872340425 0.0819672131147541 0.076271186440678 0.0609756097560976 0.0909090909090909
"B4galt6" 0.11214953271028 0.0745762711864407 0.0127659574468085 0.0960698689956332 0.137440758293839 0.0506329113924051 0.0780141843971631 0.122950819672131 0.0932203389830508 0.0975609756097561 0.0909090909090909
"Arhgef7" 0.186915887850467 0.11864406779661 0.0936170212765957 0.157205240174672 0.199052132701422 0.373417721518987 0.198581560283688 0.237704918032787 0.245762711864407 0.207317073170732 0.5
"Psd" 0.00623052959501558 0 0.00851063829787234 0.00436681222707424 0.004739336492891 0 0 0 0.0254237288135593 0 0
"Emid1" 0.0342679127725857 0.0372881355932203 0.00425531914893617 0.0174672489082969 0.0663507109004739 0.0189873417721519 0.0780141843971631 0.0573770491803279 0.0254237288135593 0.109756097560976 0.113636363636364
"Apex2" 0.043613707165109 0.0305084745762712 0.0170212765957447 0.0349344978165939 0.042654028436019 0.0189873417721519 0.049645390070922 0.0491803278688525 0 0.0121951219512195 0.0454545454545455
"Zfp273" 0.0186915887850467 0.0169491525423729 0.0382978723404255 0.0262008733624454 0.018957345971564 0.0253164556962025 0.0141843971631206 0.0245901639344262 0.00847457627118644 0.0121951219512195 0
"Dock4" 0.043613707165109 0.0677966101694915 0.0425531914893617 0.0218340611353712 0.023696682464455 0.0253164556962025 0.0780141843971631 0.0737704918032787 0.076271186440678 0.024390243902439 0.0227272727272727
"Whrn" 0.0311526479750779 0.0271186440677966 0.00851063829787234 0.0262008733624454 0.037914691943128 0 0.049645390070922 0.0737704918032787 0.00847457627118644 0.0121951219512195 0.0227272727272727
"Acaa1a" 0.700934579439252 0.63728813559322 0.527659574468085 0.681222707423581 0.649289099526066 0.392405063291139 0.553191489361702 0.549180327868852 0.567796610169491 0.560975609756098 0.727272727272727
"Ydjc" 0.0218068535825545 0.00677966101694915 0 0.00436681222707424 0.00947867298578199 0 0.0425531914893617 0.040983606557377 0 0.0121951219512195 0
"Setd4" 0.0467289719626168 0.0372881355932203 0.0127659574468085 0.0262008733624454 0.028436018957346 0.0189873417721519 0.0354609929078014 0.0983606557377049 0.0169491525423729 0.0609756097560976 0.0227272727272727
"9930021J03Rik" 0.137071651090343 0.105084745762712 0.0170212765957447 0.11353711790393 0.104265402843602 0 0.141843971631206 0.155737704918033 0.0677966101694915 0.268292682926829 0.0909090909090909
"Ubxn4" 0.700934579439252 0.708474576271186 0.617021276595745 0.685589519650655 0.654028436018957 0.715189873417722 0.666666666666667 0.672131147540984 0.567796610169491 0.817073170731707 0.568181818181818
"Snap47" 0.165109034267913 0.227118644067797 0.0638297872340425 0.179039301310044 0.170616113744076 0.0316455696202532 0.26241134751773 0.278688524590164 0.0847457627118644 0.134146341463415 0.0454545454545455
"Sbf1" 0.0529595015576324 0.0576271186440678 0.0297872340425532 0.0829694323144105 0.037914691943128 0 0.0780141843971631 0.0983606557377049 0.0338983050847458 0.0487804878048781 0
"Ckap5" 0.0996884735202492 0.108474576271186 0.0340425531914894 0.0786026200873362 0.113744075829384 0.0569620253164557 0.106382978723404 0.163934426229508 0.0677966101694915 0.195121951219512 0.181818181818182
"Stambp" 0.183800623052959 0.135593220338983 0.0468085106382979 0.131004366812227 0.156398104265403 0 0.127659574468085 0.139344262295082 0.152542372881356 0.231707317073171 0.113636363636364
"Igf2bp1" 0 0 0 0.00436681222707424 0.00947867298578199 0.0253164556962025 0 0.00819672131147541 0 0.0121951219512195 0
"Fbxo5" 0.0155763239875389 0.00677966101694915 0.025531914893617 0.0218340611353712 0.00947867298578199 0 0 0 0.00847457627118644 0 0
"Rnf170" 0.059190031152648 0.0677966101694915 0.0680851063829787 0.074235807860262 0.0616113744075829 0.0569620253164557 0.120567375886525 0.131147540983607 0 0.121951219512195 0.0909090909090909
"Usp24" 0.0311526479750779 0.0610169491525424 0.0340425531914894 0.0174672489082969 0.042654028436019 0.0506329113924051 0.0921985815602837 0.131147540983607 0.0338983050847458 0.0121951219512195 0.0909090909090909
"Mcmbp" 0.286604361370716 0.240677966101695 0.225531914893617 0.213973799126638 0.270142180094787 0.278481012658228 0.226950354609929 0.327868852459016 0.347457627118644 0.292682926829268 0.272727272727273
"Agl" 0.177570093457944 0.132203389830508 0.170212765957447 0.165938864628821 0.18957345971564 0.29746835443038 0.163120567375887 0.147540983606557 0.220338983050847 0.158536585365854 0.227272727272727
"Svil" 1.37383177570093 0.610169491525424 1.23829787234043 1.02183406113537 1.27488151658768 1.24050632911392 0.25531914893617 0.0655737704918033 1.1271186440678 1.47560975609756 0.295454545454545
"Scn2b" 0.0311526479750779 0.0271186440677966 0.025531914893617 0.0436681222707424 0.028436018957346 0.00632911392405063 0.0425531914893617 0.0163934426229508 0.0423728813559322 0.0121951219512195 0.0681818181818182
"Myo5a" 0.0404984423676012 0.0745762711864407 0.0340425531914894 0.0786026200873362 0.028436018957346 0.00632911392405063 0.113475177304965 0.10655737704918 0.00847457627118644 0.121951219512195 0
"Sppl3" 0.0996884735202492 0.0983050847457627 0.0978723404255319 0.131004366812227 0.0947867298578199 0.253164556962025 0.106382978723404 0.147540983606557 0.11864406779661 0.134146341463415 0.227272727272727
"Zfp638" 0.155763239875389 0.216949152542373 0.161702127659574 0.126637554585153 0.274881516587678 0.0569620253164557 0.113475177304965 0.163934426229508 0.0593220338983051 0.195121951219512 0.204545454545455
"Dohh" 0.414330218068536 0.322033898305085 0.195744680851064 0.353711790393013 0.502369668246445 0.0379746835443038 0.347517730496454 0.327868852459016 0.26271186440678 0.426829268292683 0.25
"Ctc1" 0.0186915887850467 0.0271186440677966 0.0212765957446809 0.0611353711790393 0.037914691943128 0 0.0212765957446809 0.0163934426229508 0.0338983050847458 0.048780487804878 0
"Plcb4" 1.77881619937695 0.440677966101695 1 0.908296943231441 1.69194312796209 1.36075949367089 0.170212765957447 0.0163934426229508 1.1864406779661 1.52439024390244 0.477272727272727
"Fgf15" 0.00623052959501558 0 0 0.00873362445414847 0 0 0.00709219858156028 0 0 0 0
"Lrig3" 0.0996884735202492 0.169491525423729 0.0382978723404255 0.14410480349345 0.170616113744076 0.0443037974683544 0.099290780141844 0.139344262295082 0.110169491525424 0.0975609756097561 0
"Trak1" 0.133956386292835 0.145762711864407 0.0340425531914894 0.165938864628821 0.151658767772512 0.069620253164557 0.134751773049645 0.147540983606557 0.0338983050847458 0.146341463414634 0.25
"Smarcc1" 0.177570093457944 0.138983050847458 0.0936170212765957 0.148471615720524 0.161137440758294 0.0126582278481013 0.226950354609929 0.188524590163934 0.0847457627118644 0.219512195121951 0.0454545454545455
"Endov" 0.0778816199376947 0.0644067796610169 0.0170212765957447 0.126637554585153 0.0473933649289099 0.0189873417721519 0.0567375886524823 0.0573770491803279 0.0169491525423729 0.0609756097560976 0
"Ipmk" 0.0529595015576324 0.0305084745762712 0.0297872340425532 0.0436681222707424 0.0758293838862559 0.0189873417721519 0.049645390070922 0.040983606557377 0.0932203389830508 0.0853658536585366 0.0454545454545455
"Stxbp4" 0.0342679127725857 0.0711864406779661 0.00851063829787234 0.0262008733624454 0.0521327014218009 0.0949367088607595 0.0567375886524823 0.0655737704918033 0 0.0121951219512195 0
"Adam33" 0.376947040498442 0.101694915254237 0.234042553191489 0.209606986899563 0.374407582938389 0.341772151898734 0.0921985815602837 0.0163934426229508 0.110169491525424 0.317073170731707 0.0909090909090909
"Ncoa2" 0.0903426791277259 0.0440677966101695 0.0595744680851064 0.0917030567685589 0.0758293838862559 0 0.113475177304965 0.0819672131147541 0.0338983050847458 0.0975609756097561 0.0909090909090909
"Fgf12" 0 0 0 0.0218340611353712 0 0.0189873417721519 0 0 0 0 0
"Ccdc137" 0.0778816199376947 0.0983050847457627 0.0340425531914894 0.157205240174672 0.0900473933649289 0.0253164556962025 0.0780141843971631 0.10655737704918 0.0338983050847458 0.0975609756097561 0.159090909090909
"Mapre3" 0.317757009345794 0.220338983050847 0.0468085106382979 0.205240174672489 0.213270142180095 0.0506329113924051 0.269503546099291 0.188524590163934 0.110169491525424 0.378048780487805 0.181818181818182
"Frmd4a" 0.0809968847352025 0.0915254237288136 0.0553191489361702 0.0567685589519651 0.0568720379146919 0.0506329113924051 0.127659574468085 0.122950819672131 0.0508474576271186 0.0731707317073171 0.136363636363636
"Atp6v0a2" 0.0778816199376947 0.176271186440678 0.0127659574468085 0.161572052401747 0.118483412322275 0.0316455696202532 0.234042553191489 0.229508196721311 0.11864406779661 0.146341463414634 0.0909090909090909
"Dlg1" 0.130841121495327 0.142372881355932 0.0382978723404255 0.139737991266376 0.109004739336493 0.0886075949367089 0.120567375886525 0.180327868852459 0.152542372881356 0.0853658536585366 0.0909090909090909
"Txlna" 0.168224299065421 0.223728813559322 0.174468085106383 0.213973799126638 0.156398104265403 0.107594936708861 0.26241134751773 0.213114754098361 0.110169491525424 0.182926829268293 0.25
"Higd1b" 0.00311526479750779 0 0.0127659574468085 0 0.014218009478673 0 0.0212765957446808 0.00819672131147541 0 0 2.45454545454545
"Inpp4a" 0.813084112149533 0.410169491525424 1.05531914893617 0.751091703056769 1.01421800947867 1.58860759493671 0.382978723404255 0.360655737704918 1.61016949152542 1 0.477272727272727
"Ralgps1" 0.0311526479750779 0.00677966101694915 0.0127659574468085 0.0218340611353712 0.023696682464455 0.0189873417721519 0.0212765957446809 0.00819672131147541 0.0338983050847458 0.024390243902439 0
"Gm7670" 0.0124610591900312 0.0169491525423729 0.00851063829787234 0.00436681222707424 0.014218009478673 0 0.00709219858156028 0.0163934426229508 0.00847457627118644 0.0121951219512195 0.0227272727272727
"Ccdc114" 0.0747663551401869 0.0711864406779661 0.0808510638297872 0.11353711790393 0.137440758293839 0.221518987341772 0.0780141843971631 0.10655737704918 0.0847457627118644 0.0487804878048781 0.0681818181818182
"Eml2" 0.685358255451713 0.213559322033898 0.204255319148936 0.467248908296943 0.47867298578199 0.120253164556962 0.177304964539007 0.131147540983607 0.627118644067796 0.51219512195122 0.159090909090909
"Pfdn6" 0.585669781931464 0.423728813559322 0.182978723404255 0.524017467248908 0.559241706161137 0.00632911392405063 0.432624113475177 0.278688524590164 0.279661016949153 0.585365853658537 0.613636363636364
"Cep128" 0.0155763239875389 0.023728813559322 0.0212765957446809 0.0262008733624454 0.028436018957346 0.0189873417721519 0.0141843971631206 0.040983606557377 0.0338983050847458 0.0487804878048781 0
"Nek1" 0.102803738317757 0.0915254237288136 0.0553191489361702 0.0524017467248908 0.0995260663507109 0.0253164556962025 0.0425531914893617 0.0983606557377049 0.0423728813559322 0.195121951219512 0.0681818181818182
"Armc2" 0.043613707165109 0.00677966101694915 0 0.0436681222707424 0.0568720379146919 0.0126582278481013 0.00709219858156028 0.0245901639344262 0 0.0121951219512195 0.0681818181818182
"Ccar2" 0.0342679127725857 0.0542372881355932 0.0127659574468085 0.0349344978165939 0.023696682464455 0 0.0638297872340425 0.0245901639344262 0.0593220338983051 0.0487804878048781 0.113636363636364
"Pex12" 0.0716510903426791 0.0406779661016949 0.00425531914893617 0.0436681222707424 0.0568720379146919 0 0.113475177304965 0.0245901639344262 0.0338983050847458 0.024390243902439 0.0454545454545455
"Phf3" 0.183800623052959 0.220338983050847 0.106382978723404 0.22707423580786 0.203791469194313 0.0506329113924051 0.127659574468085 0.245901639344262 0.11864406779661 0.134146341463415 0.159090909090909
"Sox8" 0.0249221183800623 0.0305084745762712 0.025531914893617 0 0.0473933649289099 0.107594936708861 0.00709219858156028 0.0163934426229508 0.0593220338983051 0.024390243902439 0.0227272727272727
"Pcbp2" 0.218068535825545 0.213559322033898 0.0936170212765957 0.301310043668122 0.270142180094787 0.0569620253164557 0.212765957446809 0.254098360655738 0.144067796610169 0.25609756097561 0.159090909090909
"Golph3" 0.302180685358255 0.427118644067797 0.14468085106383 0.358078602620087 0.317535545023697 0.0253164556962025 0.482269503546099 1.04098360655738 0.23728813559322 0.451219512195122 0.227272727272727
"Tnnt2" 1.09657320872274 1.25762711864407 1.07234042553191 0.698689956331878 3.48815165876777 0.626582278481013 0.0709219858156028 0.040983606557377 1.16101694915254 11.719512195122 0.204545454545455
"Ankrd13d" 0.0249221183800623 0.0101694915254237 0.0212765957446808 0.0393013100436681 0.028436018957346 0 0.00709219858156028 0.0163934426229508 0.0338983050847458 0.0121951219512195 0
"Luc7l3" 0.383177570093458 0.433898305084746 0.293617021276596 0.462882096069869 0.360189573459716 0.145569620253165 0.446808510638298 0.418032786885246 0.220338983050847 0.634146341463415 0.204545454545455
"Ypel3" 1.28660436137072 1.26101694915254 1.28936170212766 1.117903930131 1.10900473933649 1.49367088607595 1.27659574468085 1.07377049180328 1.16101694915254 1.14634146341463 1.81818181818182
"Mapk8" 0.109034267912773 0.0915254237288136 0.0425531914893617 0.0873362445414847 0.104265402843602 0.0443037974683544 0.120567375886525 0.0983606557377049 0.144067796610169 0.0731707317073171 0.204545454545455
"Dlg2" 0.0249221183800623 0.0101694915254237 0.0297872340425532 0.0174672489082969 0.0805687203791469 0 0.00709219858156028 0 0.0254237288135593 0.0731707317073171 0
"Amn1" 0.202492211838006 0.166101694915254 0.0638297872340425 0.174672489082969 0.127962085308057 0.215189873417722 0.205673758865248 0.19672131147541 0.0677966101694915 0.170731707317073 0.159090909090909
"Prss23" 1.16822429906542 0.725423728813559 0.995744680851064 1.20960698689956 0.753554502369668 1.18987341772152 2.02836879432624 0.163934426229508 1 1.68292682926829 2.13636363636364
"Ccdc22" 0.00311526479750779 0.00338983050847458 0 0 0 0 0.00709219858156028 0.0245901639344262 0 0.024390243902439 0
"Pgap3" 0.00311526479750779 0.0271186440677966 0.00425531914893617 0.0218340611353712 0.004739336492891 0 0.0141843971631206 0.0737704918032787 0.0169491525423729 0.0121951219512195 0
"Mcm3ap" 0.0529595015576324 0.0474576271186441 0.0170212765957447 0.0960698689956332 0.0616113744075829 0 0.0851063829787234 0.0573770491803279 0.0593220338983051 0.0365853658536585 0.0227272727272727
"Znhit6" 0.137071651090343 0.16271186440678 0.0638297872340425 0.165938864628821 0.18957345971564 0 0.24113475177305 1.31967213114754 0.101694915254237 0.158536585365854 0.136363636363636
"Ndufb5" 1.25856697819315 1.08474576271186 1.08510638297872 1.20960698689956 1.27014218009479 1.16455696202532 1.16312056737589 0.967213114754098 0.991525423728813 1.34146341463415 1.29545454545455
"Ramp2" 0 0.179661016949153 0.0638297872340425 0.0131004366812227 0.004739336492891 0.0506329113924051 0.24113475177305 0.549180327868852 0.0423728813559322 0.024390243902439 0.568181818181818
"Camk2g" 0.610591900311526 0.338983050847458 0.331914893617021 0.475982532751092 0.777251184834123 0.335443037974684 0.226950354609929 0.204918032786885 0.508474576271186 0.682926829268293 0.454545454545455
"Gm33543" 0.0124610591900312 0.0135593220338983 0 0.0218340611353712 0.0473933649289099 0.0189873417721519 0 0 0.0169491525423729 0.0365853658536585 0
"Ccdc50" 0.43613707165109 0.386440677966102 0.153191489361702 0.397379912663755 0.388625592417062 0.246835443037975 0.319148936170213 0.254098360655738 0.338983050847458 0.378048780487805 0.227272727272727
"Rad17" 0.161993769470405 0.132203389830508 0.0553191489361702 0.135371179039301 0.123222748815166 0.0506329113924051 0.127659574468085 0.163934426229508 0.0932203389830508 0.146341463414634 0.113636363636364
"Rps27a" 2.00934579439252 2.11864406779661 1.8 1.882096069869 2.05687203791469 1.68354430379747 1.70921985815603 2.18032786885246 1.77118644067797 2.26829268292683 1.81818181818182
"Sardh" 0.0623052959501558 0.0644067796610169 0.0680851063829787 0.0873362445414847 0.0473933649289099 0 0.156028368794326 0.114754098360656 0.101694915254237 0 0.0454545454545455
"Lss" 0.0498442367601246 0.0203389830508475 0.0212765957446809 0.0262008733624454 0.033175355450237 0.0443037974683544 0.0425531914893617 0.0327868852459016 0.0254237288135593 0 0
"Hibadh" 0.70404984423676 0.423728813559322 0.285106382978723 0.558951965065502 0.582938388625592 0.139240506329114 0.397163120567376 0.270491803278688 0.330508474576271 0.621951219512195 0.431818181818182
"Ssbp2" 0.495327102803738 0.515254237288136 0.131914893617021 0.475982532751092 0.473933649289099 0.430379746835443 0.418439716312057 0.30327868852459 0.466101694915254 0.841463414634146 0.681818181818182
"2410002F23Rik" 0.0498442367601246 0.0915254237288136 0.0765957446808511 0.131004366812227 0.0710900473933649 0 0.0921985815602837 0.0819672131147541 0.11864406779661 0.0853658536585366 0.0454545454545455
"Josd2" 0.641744548286604 0.355932203389831 0.212765957446808 0.502183406113537 0.625592417061611 0.158227848101266 0.446808510638298 0.442622950819672 0.254237288135593 0.634146341463415 0.272727272727273
"Saa2" 0 0.0101694915254237 0 0 0 0 0 0.040983606557377 0 0 0
"Tcf3" 0.115264797507788 0.169491525423729 0.0893617021276596 0.14410480349345 0.132701421800948 0.10126582278481 0.24822695035461 0.172131147540984 0.076271186440678 0.182926829268293 0.204545454545455
"Vsig10l" 0.00623052959501558 0.0101694915254237 0 0.00873362445414847 0 0 0.0212765957446808 0.0163934426229508 0 0 0
"Vmn1r214" 0.0218068535825545 0.0203389830508475 0.00851063829787234 0.0174672489082969 0.023696682464455 0.0189873417721519 0.00709219858156028 0 0.0338983050847458 0.0121951219512195 0
"Atf2" 0.2398753894081 0.176271186440678 0.0638297872340425 0.174672489082969 0.156398104265403 0.132911392405063 0.163120567375887 0.155737704918033 0.194915254237288 0.182926829268293 0.0909090909090909
"Togaram1" 0.0716510903426791 0.0474576271186441 0.025531914893617 0.0698689956331878 0.0568720379146919 0 0.0851063829787234 0.0737704918032787 0.00847457627118644 0.0609756097560976 0.0681818181818182
"Ankrd33b" 0.00311526479750779 0.0101694915254237 0 0 0.004739336492891 0.0569620253164557 0 0 0.0169491525423729 0 0.0681818181818182
"Hjurp" 0.124610591900312 0.152542372881356 0.0340425531914894 0.122270742358079 0.0710900473933649 0.0886075949367089 0.170212765957447 0.286885245901639 0.076271186440678 0.24390243902439 0.0681818181818182
"Sema4d" 0.00623052959501558 0.0101694915254237 0.0127659574468085 0.0218340611353712 0 0 0.00709219858156028 0.0163934426229508 0 0.0121951219512195 0
"Ikzf2" 0.0747663551401869 0.0949152542372881 0.0723404255319149 0.0917030567685589 0.0995260663507109 0.0949367088607595 0 0.040983606557377 0.076271186440678 0.134146341463415 0
"Ssr2" 0.775700934579439 1.18983050847458 1.10212765957447 0.768558951965065 0.639810426540284 1.06329113924051 1.39716312056738 1.87704918032787 0.915254237288135 0.841463414634146 0.613636363636364
"Ctdspl2" 0.146417445482866 0.159322033898305 0.102127659574468 0.161572052401747 0.203791469194313 0.158227848101266 0.127659574468085 0.229508196721311 0.135593220338983 0.121951219512195 0.227272727272727
"Atp13a2" 0.059190031152648 0.0406779661016949 0.0638297872340425 0.0436681222707424 0.0568720379146919 0.0569620253164557 0.0638297872340425 0.040983606557377 0.0932203389830508 0.0609756097560976 0.0227272727272727
"Nmi" 0.171339563862928 0.240677966101695 0.0808510638297872 0.222707423580786 0.161137440758294 0.0443037974683544 0.127659574468085 0.10655737704918 0.101694915254237 0.292682926829268 0.136363636363636
