"0" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14"
"Herc3" 0.0185185185185185 0.0552486187845304 0.0836012861736334 0.0234113712374582 0.0654545454545454 0.0730593607305936 0.0319148936170213 0.0112994350282486 0.0153846153846154 0.0178571428571429 0.159420289855072 0 0 0.0294117647058824 0.09375
"B4galt6" 0.0164609053497942 0.0359116022099447 0.00643086816720257 0.204013377926421 0.0363636363636364 0.0365296803652968 0.0638297872340425 0.0564971751412429 0.0230769230769231 0.0267857142857143 0.0144927536231884 0.0740740740740741 0.0555555555555556 0.0588235294117647 0
"Arhgef7" 0.0246913580246914 0.0386740331491713 0.0771704180064309 0.0535117056856187 0.04 0.132420091324201 0.0425531914893617 0.00564971751412429 0.123076923076923 0.133928571428571 0.0434782608695652 0 0.0277777777777778 0.0882352941176471 0.0625
"Emid1" 0.0411522633744856 0.0193370165745856 0.131832797427653 0 0 0.0547945205479452 0 0.0112994350282486 0.0769230769230769 0.00892857142857143 0 0 0.0277777777777778 0 0.125
"Apex2" 0.01440329218107 0.0220994475138122 0.0192926045016077 0.0234113712374582 0.0109090909090909 0.0365296803652968 0.00531914893617021 0.0169491525423729 0.0307692307692308 0 0.0144927536231884 0 0.0277777777777778 0 0
"Zfp273" 0.00823045267489712 0.0110497237569061 0.0128617363344051 0.00668896321070234 0.0109090909090909 0.0091324200913242 0.00531914893617021 0 0.0461538461538462 0 0.0434782608695652 0.0185185185185185 0 0 0
"Dock4" 0.00411522633744856 0.00276243093922652 0.0128617363344051 0.0836120401337793 0.0109090909090909 0.0136986301369863 0.0957446808510638 0.0112994350282486 0.0230769230769231 0.0178571428571429 0 0.12962962962963 0.194444444444444 0 0.03125
"Whrn" 0.0329218106995885 0.00276243093922652 0.102893890675241 0 0.0181818181818182 0.045662100456621 0.0106382978723404 0.0395480225988701 0.0461538461538462 0.0625 0.0434782608695652 0 0 0.0588235294117647 0
"Acaa1a" 0.0987654320987654 0.165745856353591 0.0707395498392283 0.193979933110368 0.127272727272727 0.0502283105022831 0.265957446808511 0.0677966101694915 0.153846153846154 0.169642857142857 0.231884057971014 0.333333333333333 0 0.117647058823529 0.1875
"Ydjc" 0.00205761316872428 0.0110497237569061 0.00321543408360129 0.0234113712374582 0.00363636363636364 0 0.0159574468085106 0.00564971751412429 0.0153846153846154 0 0.0144927536231884 0 0 0 0
"Setd4" 0.0246913580246914 0.0580110497237569 0.0514469453376206 0.0234113712374582 0.0436363636363636 0.0502283105022831 0.0265957446808511 0.0282485875706215 0.0692307692307692 0.0357142857142857 0.0289855072463768 0.0185185185185185 0 0 0.03125
"9930021J03Rik" 0.0432098765432099 0.0524861878453039 0.0321543408360129 0.0367892976588629 0.04 0.0365296803652968 0.0531914893617021 0.0112994350282486 0.0846153846153846 0.133928571428571 0.0434782608695652 0 0.0555555555555556 0.0294117647058824 0.03125
"Ubxn4" 0.304526748971193 0.494475138121547 0.47588424437299 0.267558528428094 0.338181818181818 0.200913242009132 0.468085106382979 0.361581920903955 0.207692307692308 0.25 0.449275362318841 0.351851851851852 0.416666666666667 0.323529411764706 0.5625
"Snap47" 0.00411522633744856 0.0359116022099447 0.0160771704180064 0.00668896321070234 0.0436363636363636 0.0045662100456621 0.0106382978723404 0.0112994350282486 0.0538461538461538 0.0625 0.115942028985507 0 0 0.0588235294117647 0.03125
"Sbf1" 0.0185185185185185 0.0580110497237569 0.045016077170418 0.0267558528428094 0.0618181818181818 0.0228310502283105 0.0372340425531915 0.0282485875706215 0.0615384615384615 0.0357142857142857 0 0.037037037037037 0 0.0294117647058824 0.15625
"Ckap5" 0.0205761316872428 0.0386740331491713 0.0385852090032154 0.0301003344481605 0.0218181818181818 0.0547945205479452 0.0372340425531915 0.0112994350282486 0.215384615384615 0.0267857142857143 0.0289855072463768 0.0185185185185185 0.0277777777777778 0.0588235294117647 0.0625
"Stambp" 0.00823045267489712 0.0303867403314917 0.067524115755627 0.0535117056856187 0.0109090909090909 0.0136986301369863 0.0212765957446809 0.00564971751412429 0.0384615384615385 0.0178571428571429 0 0.037037037037037 0.0833333333333333 0.0882352941176471 0.09375
"Igf2bp1" 0.00205761316872428 0.0110497237569061 0.00643086816720257 0.00668896321070234 0.00363636363636364 0.0091324200913242 0 0 0.00769230769230769 0 0 0.0185185185185185 0 0 0
"Fbxo5" 0.00411522633744856 0.0165745856353591 0.0353697749196141 0.0100334448160535 0.0181818181818182 0 0.00531914893617021 0.00564971751412429 0.907692307692308 0 0.0144927536231884 0 0 0.0588235294117647 0.0625
"Rnf170" 0.0164609053497942 0.0248618784530387 0.0257234726688103 0.0234113712374582 0.0109090909090909 0.0091324200913242 0.0372340425531915 0.0225988700564972 0.0538461538461538 0.0625 0.0289855072463768 0.0555555555555556 0 0.0294117647058824 0.09375
"Usp24" 0.0288065843621399 0.0497237569060773 0.0257234726688103 0.0301003344481605 0.0290909090909091 0.045662100456621 0.0265957446808511 0.0508474576271186 0.0384615384615385 0.0267857142857143 0 0.0555555555555556 0 0.0882352941176471 0
"Mcmbp" 0.133744855967078 0.157458563535912 0.12540192926045 0.100334448160535 0.207272727272727 0.0639269406392694 0.111702127659574 0.124293785310734 0.246153846153846 0.0892857142857143 0.101449275362319 0.0925925925925926 0.138888888888889 0.117647058823529 0.125
"Agl" 0.0308641975308642 0.0635359116022099 0.109324758842444 0.0869565217391304 0.0254545454545455 0.159817351598174 0.0265957446808511 0.0225988700564972 0.0692307692307692 0.0178571428571429 0.0579710144927536 0.0555555555555556 0.166666666666667 0.0294117647058824 0.03125
"Svil" 0.0102880658436214 0.0497237569060773 0.0192926045016077 0.0769230769230769 0.0290909090909091 0.0091324200913242 0.0531914893617021 0.0338983050847458 0.0153846153846154 0.0446428571428571 0.0289855072463768 0.12962962962963 0.0555555555555556 0 0.03125
"Scn2b" 0.0102880658436214 0 0.0418006430868167 0.0100334448160535 0.00363636363636364 0.0045662100456621 0.0265957446808511 0.0112994350282486 0.00769230769230769 0 0 0.0185185185185185 0 0.0294117647058824 0.03125
"Myo5a" 0.0781893004115226 0.0193370165745856 0.00643086816720257 0.150501672240803 0.00727272727272727 0.0228310502283105 0.0904255319148936 0.0564971751412429 0.0230769230769231 0.0267857142857143 0.0579710144927536 0.12962962962963 0.0555555555555556 0.147058823529412 0
"Sppl3" 0.111111111111111 0.074585635359116 0.045016077170418 0.0602006688963211 0.0618181818181818 0.118721461187215 0.0585106382978723 0.0338983050847458 0.0769230769230769 0.0625 0.173913043478261 0.0925925925925926 0.0277777777777778 0.0588235294117647 0.09375
