p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
1.33215143772454e-233	2.08354408215172	0.997	0.665	2.02833377907938e-229	0	1500015O10Rik
4.59816616067229e-201	1.941835147515	0.908	0.399	7.00116779623964e-197	0	Fmod
1.75958437829319e-199	1.86938903553275	1	0.999	2.67914317438921e-195	0	Cst3
8.92861992798722e-192	2.67888285498675	0.977	0.696	1.35947167023533e-187	0	Spp1
8.07840716005634e-170	1.48434794411311	0.799	0.287	1.23001827419018e-165	0	Gdf10
5.35012974868195e-164	1.28184198164732	0.926	0.517	8.14610755534314e-160	0	Rarres1
1.10801477404332e-161	2.85634377640797	0.848	0.489	1.68706329495836e-157	0	Cytl1
8.08032890759842e-156	1.26347044302183	0.719	0.064	1.23031087947094e-151	0	Fzd9
1.06933374637669e-155	1.57517198547216	0.934	0.604	1.62816756223315e-151	0	Tnfrsf11b
7.79515957284644e-140	1.159271431931	0.819	0.382	1.1868909965616e-135	0	Crispld1
2.22125395446621e-118	1.07097317736368	0.977	0.74	3.38208127107025e-114	0	Frzb
6.42532937145991e-118	1.26837516647856	1	0.999	9.78320650098486e-114	0	Sparc
1.17343415640871e-112	1.19021230724907	1	0.836	1.78667084654791e-108	0	Dcn
1.93275151281259e-110	1.85678234224459	0.854	0.5	2.94280745340844e-106	0	Prg4
2.19390140618949e-105	0.946566208095994	0.968	0.694	3.34043428106411e-101	0	Fxyd5
1.06643498079661e-99	0.896471479905307	1	0.973	1.62375390176092e-95	0	Serpine2
1.18413277114982e-98	0.815410573571306	0.905	0.689	1.80296055735271e-94	0	Scara3
1.4778766509669e-98	0.976371262699272	1	0.991	2.25021498876221e-94	0	Col1a2
3.49090897615657e-95	1.0424189935727	0.734	0.424	5.315258007096e-91	0	Fibin
1.6872196031375e-94	0.856531187923399	0.427	0.016	2.56896056773716e-90	0	Col11a2
7.19619280540315e-93	0.791688680706717	0.834	0.485	1.09569231655068e-88	0	Tsc22d3
9.07644774960107e-91	2.71582243158987	0.524	0.095	1.38197993435426e-86	0	Col2a1
1.85979862283651e-89	0.889734957017835	1	0.923	2.83172938313087e-85	0	Fn1
6.1684089649093e-88	0.771605295812114	0.613	0.119	9.39201948997091e-84	0	Ivns1abp
1.63420827127082e-85	0.964486658696303	0.739	0.357	2.48824551383696e-81	0	Acan
1.68198433802848e-84	1.26196578060313	0.989	0.986	2.56098935308216e-80	0	Col1a1
4.34120275728275e-84	2.33401604807744	0.444	0.042	6.60991531823872e-80	0	Chad
1.40036832006538e-83	0.850892272387194	0.616	0.116	2.13220080413154e-79	0	S100b
7.85242228162429e-82	0.828941800609276	0.599	0.134	1.19560981660011e-77	0	Col27a1
4.44822707353739e-80	0.672968652945984	0.914	0.721	6.77287054216803e-76	0	Tgfb1
1.35808302117403e-78	0.709665552106605	0.347	0.01	2.06781720803957e-74	0	Hapln1
4.08924276749774e-78	3.32403703174441	0.45	0.166	6.22628103779206e-74	0	Ibsp
2.9922144565838e-77	0.735015324652073	0.713	0.25	4.55594573159449e-73	0	Metrnl
6.2040889994692e-74	0.735391029985546	0.358	0.016	9.4463459105918e-70	0	Col9a3
8.13009255916252e-74	1.15301556274021	0.994	0.987	1.23788789305809e-69	0	Clu
1.45192299915937e-71	0.618780921115704	0.441	0.05	2.21069795852006e-67	0	Fap
1.48833694019536e-71	0.658464687090903	0.493	0.068	2.26614182514145e-67	0	Ramp2
6.90380201466924e-71	0.583138827907442	0.49	0.069	1.05117289475354e-66	0	Pdzrn4
2.82481223888991e-70	1.02527260865386	0.564	0.152	4.30105911493377e-66	0	Pth1r
1.2932744067079e-69	0.781060815918221	0.716	0.463	1.96913961165344e-65	0	Sox9
2.20005224409158e-67	0.873538703167883	0.705	0.492	3.34979954685385e-63	0	Phlda1
1.71907799360658e-66	0.531028557591746	0.582	0.133	2.61746815306538e-62	0	Sdk2
5.91638488043568e-66	0.65728323409927	0.504	0.129	9.00828761895137e-62	0	Znhit6
2.72885119808133e-64	0.754183751298235	0.782	0.506	4.15494883419864e-60	0	Cox4i2
5.15067793533806e-63	0.591476740993552	0.381	0.035	7.84242222434573e-59	0	Fam180a
1.32732925766888e-62	0.730427578389499	0.404	0.045	2.02099152772664e-58	0	Cilp2
2.17644505164819e-62	0.664072419809021	0.261	0.004	3.31385523563953e-58	0	Scrg1
6.08538311882847e-62	0.88578924479967	0.92	0.685	9.26560433672824e-58	0	Lgals3
