"0" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16" "17"
"Limch1" 0.0795454545454545 0.123636363636364 0.268181818181818 0.770731707317073 0.305084745762712 0 0 0.46551724137931 0.576576576576577 0.782608695652174 0.519480519480519 0 0 0.681818181818182 0.0238095238095238 0 0.238095238095238 0.705882352941176
"Herc3" 0.0454545454545455 0.0218181818181818 0.05 0.0292682926829268 0.0564971751412429 0.0184049079754601 0.0327868852459016 0.0172413793103448 0.036036036036036 0.0108695652173913 0 0.0819672131147541 0.0217391304347826 0.0454545454545455 0 0.0810810810810811 0 0
"B4galt6" 0.075 0.0618181818181818 0.0590909090909091 0.165853658536585 0.11864406779661 0.276073619631902 0.377049180327869 0.0258620689655172 0.0630630630630631 0.130434782608696 0.12987012987013 0.0327868852459016 0.239130434782609 0.522727272727273 0.261904761904762 0 0 0.117647058823529
"Robo2" 0.00454545454545455 0.0145454545454545 0 0.0048780487804878 0.0169491525423729 0 0 0.0172413793103448 0 0.0326086956521739 0 0 0 0 0 0 0 0
"Arhgef7" 0.115909090909091 0.2 0.104545454545455 0.170731707317073 0.19774011299435 0.116564417177914 0.122950819672131 0.474137931034483 0.108108108108108 0.206521739130435 0.415584415584416 0.0655737704918033 0.152173913043478 0.113636363636364 0.0714285714285714 0.027027027027027 0 0.117647058823529
"Emid1" 0.0431818181818182 0 0.0363636363636364 0.0146341463414634 0.0734463276836158 0 0 0.00862068965517241 0.018018018018018 0.0217391304347826 0.519480519480519 0.0327868852459016 0 0 0 0 0 0
"Apex2" 0.025 0.00363636363636364 0.0363636363636364 0.0341463414634146 0.0451977401129944 0.0184049079754601 0.0327868852459016 0.0603448275862069 0.036036036036036 0.0326086956521739 0.012987012987013 0.0819672131147541 0.0652173913043478 0.0227272727272727 0 0.027027027027027 0 0
"Zfp273" 0.0181818181818182 0 0.00454545454545455 0.0048780487804878 0.00564971751412429 0.00613496932515337 0 0 0.045045045045045 0.0108695652173913 0.038961038961039 0.0163934426229508 0.0434782608695652 0 0 0 0 0
"Dock4" 0.0227272727272727 0.101818181818182 0.0545454545454545 0.0731707317073171 0.096045197740113 0.110429447852761 0.10655737704918 0.25 0.216216216216216 0.304347826086956 0.246753246753247 0.0655737704918033 0.130434782608696 0.0454545454545455 0.309523809523809 0 0.0476190476190476 0
"Whrn" 0.0113636363636364 0.0181818181818182 0.0272727272727273 0.131707317073171 0.0508474576271186 0 0 0 0 0 0 0 0 0 0.0238095238095238 0 0 0.0588235294117647
"Acaa1a" 0.509090909090909 0.12 0.422727272727273 0.619512195121951 0.502824858757062 0.45398773006135 0.352459016393443 0.241379310344828 0.594594594594595 0.434782608695652 0.467532467532467 0.278688524590164 0.565217391304348 0.863636363636364 0.714285714285714 0.0810810810810811 0.238095238095238 0.0588235294117647
