"0" "1" "2" "3" "4" "5" "6" "7" "8"
"Limch1" 0.0469798657718121 0.0745098039215686 0.395348837209302 0.472527472527473 0 0.0909090909090909 0.150943396226415 0.0555555555555556 0.181818181818182
"Herc3" 0.0302013422818792 0.00392156862745098 0 0.021978021978022 0.0337078651685393 0.0181818181818182 0.0754716981132075 0.0277777777777778 0
"B4galt6" 0.0268456375838926 0.00392156862745098 0.0697674418604651 0.0659340659340659 0.258426966292135 0.0545454545454545 0.0754716981132075 0.0277777777777778 0.181818181818182
"Robo2" 0.00335570469798658 0 0.00775193798449612 0 0 0.0363636363636364 0 0.0277777777777778 0
"Arhgef7" 0.0369127516778524 0.0117647058823529 0.124031007751938 0.274725274725275 0.0561797752808989 0.0909090909090909 0.188679245283019 0.0833333333333333 0
"Emid1" 0.0201342281879195 0 0.00775193798449612 0.010989010989011 0 0.0545454545454545 0 0 0
"Apex2" 0.0503355704697987 0 0.0387596899224806 0.021978021978022 0.0224719101123595 0.0545454545454545 0 0.0555555555555556 0.0909090909090909
"Zfp273" 0.0167785234899329 0 0 0.032967032967033 0 0 0 0.0277777777777778 0
"Dock4" 0.0604026845637584 0.0196078431372549 0.0310077519379845 0.142857142857143 0.0337078651685393 0.0363636363636364 0.0188679245283019 0 0
"Whrn" 0 0 0.0930232558139535 0 0 0.0181818181818182 0.0188679245283019 0 0
"Acaa1a" 0.224832214765101 0.101960784313725 0.224806201550388 0.241758241758242 0.224719101123595 0.127272727272727 0.0377358490566038 0.111111111111111 0.545454545454545
"Ydjc" 0.00671140939597315 0 0.00775193798449612 0.010989010989011 0.0112359550561798 0 0 0 0
"Setd4" 0.0335570469798658 0 0.0232558139534884 0.010989010989011 0.0337078651685393 0.0181818181818182 0 0 0
"9930021J03Rik" 0.0570469798657718 0.0196078431372549 0.0387596899224806 0.021978021978022 0.0112359550561798 0.0363636363636364 0.0377358490566038 0.0555555555555556 0
"Ubxn4" 0.191275167785235 0.145098039215686 0.325581395348837 0.417582417582418 0.303370786516854 0.181818181818182 0.132075471698113 0.25 0.363636363636364
"Snap47" 0.0973154362416107 0.0235294117647059 0.255813953488372 0.142857142857143 0.0224719101123595 0.0545454545454545 0.0377358490566038 0.111111111111111 0.181818181818182
"Sbf1" 0.0302013422818792 0.0470588235294118 0.0852713178294574 0 0.0337078651685393 0 0 0 0
"Ckap5" 0.0436241610738255 0.0196078431372549 0.108527131782946 0.0549450549450549 0.0337078651685393 0.0181818181818182 0.0188679245283019 0.0555555555555555 0
"Stambp" 0.0503355704697987 0.00392156862745098 0.0310077519379845 0.0769230769230769 0.0449438202247191 0.0181818181818182 0 0.111111111111111 0.181818181818182
"Igf2bp1" 0.00671140939597315 0 0.00775193798449612 0.010989010989011 0 0 0.0566037735849057 0 0
"Fbxo5" 0.00335570469798658 0 0.00775193798449612 0.032967032967033 0 0 0 0.0555555555555555 0
"Rnf170" 0.0402684563758389 0.0313725490196078 0.0465116279069767 0.0549450549450549 0.0224719101123595 0.0545454545454545 0 0 0.0909090909090909
"Usp24" 0.0536912751677852 0.0156862745098039 0.0465116279069767 0.0549450549450549 0.0561797752808989 0 0 0.0277777777777778 0.0909090909090909
"Mcmbp" 0.130872483221476 0.0784313725490196 0.201550387596899 0.340659340659341 0.0898876404494382 0.127272727272727 0.207547169811321 0.305555555555556 0.0909090909090909
"Agl" 0.0570469798657718 0.0235294117647059 0.0697674418604651 0.0549450549450549 0.146067415730337 0.0181818181818182 0.169811320754717 0.0833333333333333 0
"Svil" 0.25503355704698 0.0509803921568628 0.24031007751938 0.263736263736264 0.0674157303370786 0.0727272727272727 0.113207547169811 0.0555555555555556 0.0909090909090909
"Scn2b" 0.0201342281879195 0.0235294117647059 0.0542635658914729 0.032967032967033 0 0.0181818181818182 0.0754716981132075 0 0
"Myo5a" 0.023489932885906 0.0431372549019608 0.062015503875969 0 0.168539325842697 0.0545454545454545 0.0377358490566038 0 0
"Sppl3" 0.0838926174496644 0.0235294117647059 0.0542635658914729 0.0769230769230769 0.0898876404494382 0.0727272727272727 0.188679245283019 0.138888888888889 0.181818181818182
"Zfp638" 0.0805369127516778 0.00392156862745098 0.10077519379845 0.153846153846154 0.0561797752808989 0.0909090909090909 0.0188679245283019 0.111111111111111 0.181818181818182
"Dohh" 0.087248322147651 0.0549019607843137 0.0930232558139535 0.252747252747253 0.134831460674157 0.0181818181818182 0 0.111111111111111 0
"Ctc1" 0.00671140939597315 0.0156862745098039 0.00775193798449612 0.021978021978022 0.0674157303370786 0 0 0 0
"Plcb4" 0.0771812080536913 0.0431372549019608 0.116279069767442 0.285714285714286 0 0.0363636363636364 0.0566037735849057 0 0.0909090909090909
"Lrig3" 0.104026845637584 0 0.0232558139534884 0 0 0.0363636363636364 0.0377358490566038 0.0555555555555556 0
"Trak1" 0.0671140939597315 0.0117647058823529 0.0775193798449612 0 0.0449438202247191 0.0181818181818182 0 0.0555555555555556 0
"Smarcc1" 0.0838926174496644 0.0117647058823529 0.10077519379845 0.10989010989011 0.0786516853932584 0.0727272727272727 0.0377358490566038 0.0555555555555556 0.0909090909090909
"Endov" 0.0402684563758389 0.0117647058823529 0.0232558139534884 0 0.0224719101123595 0 0 0 0.0909090909090909
"Ipmk" 0.0402684563758389 0.0274509803921569 0.0310077519379845 0 0.0112359550561798 0.0181818181818182 0 0.0277777777777778 0.0909090909090909
"Stxbp4" 0.0268456375838926 0.0117647058823529 0.0387596899224806 0.0549450549450549 0.0337078651685393 0.0363636363636364 0.113207547169811 0.194444444444444 0
