"0" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16" "17" "18" "19"
"Herc3" 0.00588812561334642 0.00248447204968944 0.00676818950930626 0.00386847195357834 0.00831024930747922 0 0.00303030303030303 0.0184049079754601 0 0 0 0.00584795321637427 0 0 0.00819672131147541 0 0 0 0 0
"B4galt6" 0.0304219823356232 0.0397515527950311 0.0372250423011844 0.0406189555125725 0.0221606648199446 0.0310734463276836 0.0424242424242424 0.0184049079754601 0.0368663594470046 0.0366492146596859 0.053475935828877 0.0526315789473684 0.0817610062893082 0.0522875816993464 0.0655737704918033 0.036036036036036 0 0.0392156862745098 0 0
"Arhgef7" 0.00490677134445535 0.00869565217391304 0.00676818950930626 0.0251450676982592 0.0193905817174515 0.00847457627118644 0.00303030303030303 0.0122699386503067 0.00921658986175115 0.00523560209424084 0 0.0116959064327485 0 0 0.0163934426229508 0.00900900900900901 0 0 0.0444444444444444 0.0384615384615385
"Apex2" 0 0.00248447204968944 0.00169204737732657 0.00386847195357834 0.00554016620498615 0.00564971751412429 0.00303030303030303 0.00306748466257669 0.00921658986175115 0.0104712041884817 0 0 0 0.0065359477124183 0 0 0 0.0196078431372549 0 0
"Zfp273" 0.00294406280667321 0 0.0050761421319797 0.00580270793036751 0.00554016620498615 0.00564971751412429 0.00303030303030303 0.00306748466257669 0 0 0.0053475935828877 0 0 0 0 0 0 0 0 0
"Dock4" 0.013738959764475 0.00993788819875776 0.0152284263959391 0.0193423597678917 0.00831024930747922 0.0282485875706215 0.00909090909090909 0.0245398773006135 0.00460829493087558 0.0104712041884817 0.0320855614973262 0.0175438596491228 0.0314465408805031 0.0196078431372549 0.0245901639344262 0.018018018018018 0.0365853658536585 0.0196078431372549 0.0444444444444444 0
"Acaa1a" 0.0176643768400393 0.0111801242236025 0.0236886632825719 0.0174081237911025 0.0332409972299169 0.019774011299435 0.0121212121212121 0.0245398773006135 0.0230414746543779 0.031413612565445 0.0160427807486631 0.0350877192982456 0.0314465408805031 0.0261437908496732 0.0245901639344262 0.00900900900900901 0.024390243902439 0.0784313725490196 0.0222222222222222 0.153846153846154
"Ydjc" 0 0.00248447204968944 0 0 0 0.00282485875706215 0 0.00306748466257669 0 0 0.0053475935828877 0 0 0 0 0 0 0 0 0
"Setd4" 0.00294406280667321 0.00372670807453416 0.00169204737732657 0.00580270793036751 0.00554016620498615 0.00564971751412429 0.00606060606060606 0.00306748466257669 0 0.00523560209424084 0.0053475935828877 0 0 0 0 0 0 0 0 0
"9930021J03Rik" 0.0107948969578018 0.0124223602484472 0.00846023688663283 0.0154738878143133 0.0110803324099723 0.00564971751412429 0.0181818181818182 0.00920245398773006 0.00921658986175115 0 0.0106951871657754 0 0.0125786163522013 0.0130718954248366 0.0245901639344262 0.00900900900900901 0 0.0196078431372549 0 0
"Ubxn4" 0.0255152109911678 0.0335403726708075 0.0321489001692047 0.0483558994197292 0.07202216066482 0.0367231638418079 0.0454545454545455 0.0736196319018405 0.0230414746543779 0.06282722513089 0.0374331550802139 0.0292397660818713 0.0817610062893082 0.0326797385620915 0.0491803278688525 0.045045045045045 0.0731707317073171 0.0196078431372549 0.111111111111111 0
"Snap47" 0.00098135426889107 0.0062111801242236 0.0050761421319797 0.00193423597678917 0.00277008310249307 0.0112994350282486 0.00606060606060606 0 0 0 0 0.00584795321637427 0 0 0 0 0 0 0 0
"Sbf1" 0.00588812561334642 0 0.00338409475465313 0.011605415860735 0.00831024930747922 0 0.00303030303030303 0.00920245398773006 0.00921658986175115 0.00523560209424084 0 0 0.00628930817610063 0.0130718954248366 0 0 0 0 0 0
"Ckap5" 0.0098135426889107 0.00745341614906832 0.011844331641286 0.00773694390715667 0.0193905817174515 0.00847457627118644 0.0121212121212121 0.0214723926380368 0.0184331797235023 0.00523560209424084 0.0160427807486631 0.00584795321637427 0.050314465408805 0 0.0245901639344262 0.00900900900900901 0.0365853658536585 0 0.0444444444444444 0
"Stambp" 0.00490677134445535 0.00869565217391304 0.0101522842639594 0.00967117988394584 0.00554016620498615 0.00564971751412429 0.0181818181818182 0.0153374233128834 0.0138248847926267 0.0157068062827225 0.0053475935828877 0.00584795321637427 0.0251572327044025 0 0 0.018018018018018 0.0121951219512195 0.0196078431372549 0.0222222222222222 0
"Usp24" 0.0274779195289499 0.0136645962732919 0.0135363790186125 0.0135396518375242 0.00831024930747922 0.019774011299435 0.0121212121212121 0.00920245398773006 0.0184331797235023 0.00523560209424084 0.0267379679144385 0.0233918128654971 0.0188679245283019 0.0065359477124183 0.0327868852459016 0.036036036036036 0.0121951219512195 0.0196078431372549 0 0
"Mcmbp" 0.0206084396467125 0.0260869565217391 0.0203045685279188 0.0212765957446809 0.0304709141274238 0.0112994350282486 0.0272727272727273 0.0276073619631902 0.0184331797235023 0.0104712041884817 0.0160427807486631 0.0292397660818713 0.0251572327044025 0.0326797385620915 0.0245901639344262 0.0540540540540541 0.0365853658536585 0.0196078431372549 0.0444444444444444 0
"Agl" 0.0127576054955839 0.00745341614906832 0.0135363790186125 0.00193423597678917 0.0166204986149584 0.00847457627118644 0.00303030303030303 0.0429447852760736 0.00460829493087558 0 0.0053475935828877 0.0175438596491228 0.0188679245283019 0.0261437908496732 0.00819672131147541 0.027027027027027 0.048780487804878 0.0392156862745098 0 0
"Svil" 0.013738959764475 0.0062111801242236 0.00846023688663283 0.011605415860735 0.0221606648199446 0.00847457627118644 0.00606060606060606 0.0214723926380368 0.00460829493087558 0.0104712041884817 0.0160427807486631 0.0116959064327485 0.0377358490566038 0 0 0 0.0731707317073171 0.0392156862745098 0.111111111111111 0.153846153846154
"Myo5a" 0.0647693817468106 0.0521739130434783 0.0710659898477157 0.0696324951644101 0.0526315789473684 0.0593220338983051 0.0393939393939394 0.0521472392638037 0.0829493087557604 0.0418848167539267 0.0588235294117647 0.0818713450292398 0.0880503144654088 0.0588235294117647 0.0901639344262295 0.0990990990990991 0 0.0784313725490196 0 0
"Sppl3" 0.00686947988223749 0.00496894409937888 0.0101522842639594 0.0251450676982592 0.00831024930747922 0.00564971751412429 0.0272727272727273 0.0122699386503067 0.0230414746543779 0.00523560209424084 0.0053475935828877 0 0.00628930817610063 0.0065359477124183 0.00819672131147541 0.027027027027027 0 0 0 0
"Zfp638" 0.0363101079489696 0.0273291925465838 0.0473773265651438 0.034816247582205 0.0166204986149584 0.0225988700564972 0.0454545454545455 0.0214723926380368 0.00460829493087558 0.0261780104712042 0.0160427807486631 0.00584795321637427 0.0440251572327044 0.0196078431372549 0.0327868852459016 0.0720720720720721 0 0.0588235294117647 0.0888888888888889 0
"Dohh" 0.00883218842001963 0.0111801242236025 0.011844331641286 0.00967117988394584 0.0138504155124654 0.00282485875706215 0.0181818181818182 0.00613496932515337 0 0 0.0053475935828877 0.0175438596491228 0.0377358490566038 0.0130718954248366 0.040983606557377 0 0 0.0196078431372549 0 0.0769230769230769
"Ctc1" 0.00392541707556428 0.0136645962732919 0.00676818950930626 0.011605415860735 0.00554016620498615 0 0 0.00306748466257669 0.0138248847926267 0.00523560209424084 0 0 0.0188679245283019 0 0.00819672131147541 0 0 0 0.0222222222222222 0
"Trak1" 0.00686947988223749 0.0111801242236025 0.00676818950930626 0.00967117988394584 0.0221606648199446 0.00564971751412429 0.00909090909090909 0.0184049079754601 0.00921658986175115 0 0.0213903743315508 0.0175438596491228 0.0125786163522013 0 0 0 0 0.0588235294117647 0.0222222222222222 0
"Smarcc1" 0.00785083415112856 0.0111801242236025 0.0135363790186125 0.0174081237911025 0.0110803324099723 0.0112994350282486 0.0272727272727273 0.0184049079754601 0.0138248847926267 0.0104712041884817 0.0106951871657754 0.0233918128654971 0.0314465408805031 0.0065359477124183 0.0245901639344262 0.018018018018018 0.0121951219512195 0.0196078431372549 0 0.0769230769230769
"Endov" 0.00196270853778214 0 0.00169204737732657 0.00580270793036751 0.00554016620498615 0.00282485875706215 0.00909090909090909 0 0.00460829493087558 0.0104712041884817 0.0106951871657754 0.00584795321637427 0.00628930817610063 0 0 0 0.0121951219512195 0 0 0
"Ipmk" 0.00490677134445535 0.00745341614906832 0.0050761421319797 0.00773694390715667 0.0193905817174515 0.00847457627118644 0.00606060606060606 0.0276073619631902 0.00921658986175115 0 0.0106951871657754 0.0116959064327485 0.0125786163522013 0 0.0163934426229508 0.00900900900900901 0 0.0196078431372549 0 0
"Adam33" 0.0657507360157017 0.0496894409937888 0.0304568527918782 0.0425531914893617 0.0249307479224377 0.0225988700564972 0.0606060606060606 0.0153374233128834 0.0552995391705069 0.0575916230366492 0.0267379679144385 0.0467836257309941 0.0440251572327044 0.0915032679738562 0.0491803278688525 0.036036036036036 0.024390243902439 0 0.0444444444444444 0.0384615384615385
"Ncoa2" 0.0098135426889107 0.0124223602484472 0.00846023688663283 0.00580270793036751 0.00277008310249307 0.019774011299435 0.0121212121212121 0.00613496932515337 0 0.0104712041884817 0.0213903743315508 0.0175438596491228 0.0188679245283019 0.0196078431372549 0.0245901639344262 0.00900900900900901 0 0 0 0
"Ccdc137" 0.00785083415112856 0.00372670807453416 0.011844331641286 0.00967117988394584 0.0138504155124654 0.00282485875706215 0.0121212121212121 0.0122699386503067 0 0.00523560209424084 0.0053475935828877 0 0.00628930817610063 0 0 0 0.0121951219512195 0.0392156862745098 0 0
"Mapre3" 0.00196270853778214 0.00124223602484472 0.00169204737732657 0 0 0.00282485875706215 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Frmd4a" 0.0107948969578018 0.0111801242236025 0.0101522842639594 0.00580270793036751 0.0110803324099723 0.0141242937853107 0.00606060606060606 0.0184049079754601 0.0184331797235023 0.0104712041884817 0.0374331550802139 0.0175438596491228 0.0188679245283019 0.0130718954248366 0.00819672131147541 0.018018018018018 0.024390243902439 0 0.0444444444444444 0
"Atp6v0a2" 0.00588812561334642 0.0062111801242236 0.00338409475465313 0.00967117988394584 0.00831024930747922 0.00282485875706215 0 0.0122699386503067 0.00460829493087558 0 0.0106951871657754 0 0 0.0065359477124183 0 0.00900900900900901 0.024390243902439 0.0784313725490196 0 0.0384615384615385
"Dlg1" 0.00785083415112856 0.00496894409937888 0.00846023688663283 0.011605415860735 0.00831024930747922 0.00282485875706215 0 0.0122699386503067 0.00921658986175115 0.00523560209424084 0.0053475935828877 0 0.0188679245283019 0 0.00819672131147541 0.00900900900900901 0.024390243902439 0.0196078431372549 0 0.0384615384615385
"Txlna" 0.0098135426889107 0.0136645962732919 0.0135363790186125 0.011605415860735 0.0193905817174515 0.00847457627118644 0.0212121212121212 0.0184049079754601 0 0.0209424083769634 0.0267379679144385 0.0175438596491228 0.0251572327044025 0.0326797385620915 0 0.036036036036036 0.024390243902439 0.0392156862745098 0.0222222222222222 0
"Inpp4a" 0.0529931305201178 0.0583850931677019 0.050761421319797 0.0599613152804642 0.07202216066482 0.0480225988700565 0.0727272727272727 0.0521472392638037 0.0184331797235023 0.0523560209424084 0.0588235294117647 0.0526315789473684 0.050314465408805 0.0457516339869281 0.040983606557377 0.0630630630630631 0.048780487804878 0.0588235294117647 0.0222222222222222 0.0769230769230769
"Ralgps1" 0.00294406280667321 0.00372670807453416 0.00676818950930626 0.00193423597678917 0.0110803324099723 0.00564971751412429 0.00303030303030303 0.00920245398773006 0.00460829493087558 0 0 0 0 0 0 0.018018018018018 0 0 0 0
"Ccdc114" 0.00588812561334642 0.00372670807453416 0.00169204737732657 0.00967117988394584 0.00831024930747922 0.00282485875706215 0.00303030303030303 0.00613496932515337 0.00460829493087558 0.00523560209424084 0.0160427807486631 0 0 0.0065359477124183 0.00819672131147541 0 0 0.0196078431372549 0 0
"Pfdn6" 0.0314033366045142 0.0248447204968944 0.0169204737732657 0.02321083172147 0.0304709141274238 0.0367231638418079 0.0454545454545455 0.0552147239263804 0.0184331797235023 0.0104712041884817 0.0427807486631016 0.0526315789473684 0.0691823899371069 0.0261437908496732 0.040983606557377 0.036036036036036 0.0121951219512195 0.0196078431372549 0 0.0384615384615385
"Cep128" 0.00785083415112856 0.00496894409937888 0.0050761421319797 0.00580270793036751 0.00277008310249307 0.00282485875706215 0.00606060606060606 0.00306748466257669 0 0.00523560209424084 0 0 0.0251572327044025 0 0 0 0 0 0 0
"Nek1" 0.00294406280667321 0.00248447204968944 0.0050761421319797 0.00193423597678917 0.00554016620498615 0.00282485875706215 0.00303030303030303 0 0.00460829493087558 0.00523560209424084 0.0053475935828877 0.00584795321637427 0.0125786163522013 0.0065359477124183 0.00819672131147541 0.00900900900900901 0.0121951219512195 0 0.0222222222222222 0
"Ccar2" 0.00098135426889107 0.00248447204968944 0.00338409475465313 0.00580270793036751 0.00277008310249307 0.00564971751412429 0.00606060606060606 0 0 0 0 0 0 0.0065359477124183 0 0 0 0 0 0
"Pex12" 0.00098135426889107 0.00372670807453416 0 0.00193423597678917 0.00277008310249307 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Phf3" 0.0314033366045142 0.0248447204968944 0.0338409475465313 0.0328820116054159 0.0304709141274238 0.0338983050847458 0.0424242424242424 0.0276073619631902 0.032258064516129 0.0104712041884817 0.0427807486631016 0.0233918128654971 0.0566037735849057 0.0065359477124183 0.0573770491803279 0.027027027027027 0.0609756097560976 0.0784313725490196 0.0888888888888889 0.0384615384615385
"Pcbp2" 0.0235525024533857 0.0124223602484472 0.0152284263959391 0.0444874274661509 0.0221606648199446 0.0169491525423729 0.0303030303030303 0.0337423312883436 0.0230414746543779 0.0366492146596859 0.0106951871657754 0.0233918128654971 0.0314465408805031 0.0130718954248366 0.00819672131147541 0.00900900900900901 0.0609756097560976 0 0.0888888888888889 0
"Golph3" 0.0176643768400393 0.0198757763975155 0.0219966159052453 0.0135396518375242 0.0415512465373961 0.00847457627118644 0.0212121212121212 0.0214723926380368 0.0184331797235023 0.0209424083769634 0.0160427807486631 0 0.0125786163522013 0.0261437908496732 0.0491803278688525 0.036036036036036 0.0365853658536585 0.0196078431372549 0.0222222222222222 0
"Ankrd13d" 0.00098135426889107 0.00248447204968944 0 0 0 0.00282485875706215 0.00303030303030303 0 0 0 0 0 0.00628930817610063 0 0 0 0 0 0 0
"Luc7l3" 0.0451422963689892 0.0397515527950311 0.050761421319797 0.0831721470019342 0.0609418282548476 0.0225988700564972 0.0787878787878788 0.0674846625766871 0.0184331797235023 0.031413612565445 0.053475935828877 0.0526315789473684 0.0880503144654088 0.0522875816993464 0.0327868852459016 0.036036036036036 0.0609756097560976 0.0980392156862745 0.111111111111111 0.115384615384615
"Ypel3" 0.0834151128557409 0.0770186335403727 0.077834179357022 0.0909090909090909 0.0554016620498615 0.076271186440678 0.0757575757575758 0.0674846625766871 0.0875576036866359 0.0732984293193717 0.0909090909090909 0.0818713450292398 0.0691823899371069 0.065359477124183 0.0901639344262295 0.0990990990990991 0.0609756097560976 0.0196078431372549 0.111111111111111 0.0384615384615385
"Mapk8" 0.00588812561334642 0.00869565217391304 0 0.00773694390715667 0.0110803324099723 0.00564971751412429 0.00303030303030303 0.0153374233128834 0 0 0 0.0116959064327485 0.0251572327044025 0.0065359477124183 0.00819672131147541 0.018018018018018 0.024390243902439 0.0196078431372549 0 0
"Amn1" 0.00686947988223749 0.00745341614906832 0.0169204737732657 0.0154738878143133 0.0110803324099723 0.0112994350282486 0.00909090909090909 0.0153374233128834 0.00921658986175115 0.0104712041884817 0.0053475935828877 0.0175438596491228 0.0188679245283019 0.0065359477124183 0.0245901639344262 0 0.024390243902439 0.0196078431372549 0 0
"Znhit6" 0.00686947988223749 0.00372670807453416 0.011844331641286 0 0.00277008310249307 0.00282485875706215 0.00606060606060606 0.00920245398773006 0.0138248847926267 0.00523560209424084 0.0053475935828877 0.00584795321637427 0.0125786163522013 0.0196078431372549 0.00819672131147541 0 0 0.0392156862745098 0.0222222222222222 0
"Ndufb5" 0.0529931305201178 0.0385093167701863 0.0676818950930626 0.0328820116054159 0.0664819944598338 0.0677966101694915 0.0696969696969697 0.098159509202454 0.0460829493087558 0.0575916230366492 0.0588235294117647 0.0467836257309941 0.0691823899371069 0.065359477124183 0.0655737704918033 0.045045045045045 0.0853658536585366 0.117647058823529 0.111111111111111 0.0384615384615385
"Camk2g" 0.00785083415112856 0.0062111801242236 0.0050761421319797 0.0174081237911025 0.0249307479224377 0.00282485875706215 0.0121212121212121 0.0245398773006135 0.00460829493087558 0.00523560209424084 0.0106951871657754 0.0116959064327485 0.0314465408805031 0.0065359477124183 0.00819672131147541 0 0.0121951219512195 0.0392156862745098 0 0.153846153846154
"Ccdc50" 0.0598626104023552 0.062111801242236 0.077834179357022 0.0618955512572534 0.0775623268698061 0.0451977401129944 0.0484848484848485 0.0674846625766871 0.0829493087557604 0.031413612565445 0.0802139037433155 0.0526315789473684 0.0880503144654088 0.0261437908496732 0.10655737704918 0.117117117117117 0.0853658536585366 0.0980392156862745 0.111111111111111 0.0384615384615385
"Rad17" 0.00686947988223749 0.00993788819875776 0.0050761421319797 0.0135396518375242 0.0166204986149584 0.00847457627118644 0.00909090909090909 0.0122699386503067 0.00921658986175115 0 0.0106951871657754 0.0175438596491228 0.0188679245283019 0.0065359477124183 0.00819672131147541 0.00900900900900901 0 0.0392156862745098 0.0444444444444444 0
"Rps27a" 0.151128557409225 0.147826086956522 0.196277495769882 0.201160541586073 0.160664819944598 0.138418079096045 0.209090909090909 0.386503067484663 0.170506912442396 0.141361256544503 0.144385026737968 0.216374269005848 0.232704402515723 0.143790849673203 0.188524590163934 0.252252252252252 0.146341463414634 0.490196078431373 0.222222222222222 0.230769230769231
"Hibadh" 0.014720314033366 0.00745341614906832 0.0101522842639594 0.0154738878143133 0.0138504155124654 0.019774011299435 0.0333333333333333 0.00920245398773006 0.00460829493087558 0.00523560209424084 0.0106951871657754 0.0292397660818713 0.0251572327044025 0.0261437908496732 0.0573770491803279 0.027027027027027 0.0121951219512195 0.0196078431372549 0.0444444444444444 0.0769230769230769
