p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
4.57905581455063e-227	1.09511412717365	1	0.764	6.28887525570383e-223	0	H2-Eb1
1.491767258253e-211	1.0328902234672	1	0.753	2.04879315248467e-207	0	H2-Aa
1.07066812659853e-210	1.07914271306903	1	0.785	1.47045560507042e-206	0	H2-Ab1
4.33307053741184e-202	1.13107771688825	1	0.912	5.95103907608142e-198	0	Cd74
7.03620526174955e-67	0.480579352921763	0.725	0.394	9.66352430648684e-63	0	H2-DMb1
1.54954360863463e-60	0.452823790831031	0.766	0.486	2.12814319209881e-56	0	H2-DMa
1.43535608194506e-42	0.356487298972413	0.854	0.727	1.97131804294335e-38	0	Tmem176b
9.18460527967707e-28	0.285624292449649	0.68	0.546	1.26141368911085e-23	0	Tmem176a
3.22186716726424e-19	0.266997019025046	0.547	0.49	4.42491236752071e-15	0	Mgl2
2.90003934232499e-14	0.261653806543033	0.525	0.542	3.98291403274915e-10	0	Hspa1a
0	2.14168177597267	0.982	0.698	0	1	Ccl4
2.92746118439808e-251	1.75148821243017	0.977	0.762	4.02057519065233e-247	1	Cxcl2
2.23458406501501e-226	1.52449419768022	0.945	0.582	3.06897775489162e-222	1	Ccl3
9.53894003322592e-148	1.39914927758088	0.855	0.597	1.31007802416325e-143	1	Ccl2
1.16849097374011e-130	1.45687735659598	0.811	0.544	1.60480550333466e-126	1	Ccl7
7.18277506559888e-128	0.911998366245218	0.966	0.783	9.8648232750935e-124	1	Sdc4
9.3368205710242e-116	0.73562208597955	0.895	0.613	1.28231893722446e-111	1	Marcksl1
8.82087375972922e-108	1.38919142597333	0.6	0.185	1.21145880216121e-103	1	Cxcl1
1.27480500104556e-106	0.865194119291057	0.945	0.696	1.75081718843598e-102	1	Kdm6b
1.691650304086e-99	0.774334458704723	0.764	0.435	2.32331252763171e-95	1	Tnf
4.51259417527752e-89	0.888992217582184	0.557	0.14	6.19759684032614e-85	1	Cxcl10
2.60048054271253e-74	0.634892709057826	0.693	0.282	3.57149997736139e-70	1	Ccrl2
1.68405182682006e-70	0.64444630602185	0.882	0.733	2.31287677895467e-66	1	Bcl2a1b
1.43480268392042e-64	0.589435185829603	0.895	0.758	1.97055800609631e-60	1	Cd14
3.571164617697e-62	1.18877650301659	0.316	0.055	4.90463748594506e-58	1	Ccl5
3.21787298373851e-59	0.580354637907524	0.859	0.651	4.41942675586647e-55	1	Cd83
8.13126328570059e-55	0.709503751531144	0.518	0.192	1.11674769965812e-50	1	Gdf15
9.80008630252423e-51	0.421363494329624	0.491	0.163	1.34594385278868e-46	1	Nlrp3
4.87657745071834e-48	0.441544447584504	0.761	0.561	6.69749147081657e-44	1	Slfn2
2.56376098627015e-45	0.630500376135362	0.455	0.152	3.52106933854342e-41	1	Il1b
3.90976767221631e-43	0.415677906585949	0.657	0.349	5.36967492102188e-39	1	Plek
1.54093683549595e-39	0.373850231256835	0.464	0.183	2.11632264987014e-35	1	Peli1
3.00174172690035e-39	0.48959231791448	0.62	0.449	4.12259208772494e-35	1	Bcl2a1d
5.96916858419844e-39	0.268287127371597	0.239	0.04	8.19805613353814e-35	1	Oasl1
8.26623374618178e-39	0.465260810024506	0.475	0.177	1.13528454270061e-34	1	Isg15
1.78122241793727e-38	0.412763835670459	0.702	0.513	2.44633086879505e-34	1	Sqstm1
2.24506573356486e-37	0.5816179846359	0.955	0.917	3.08337327847798e-33	1	Mt1
3.5653068890366e-37	0.27781813567925	0.314	0.081	4.89659248140286e-33	1	N6amt1
1.92865237304852e-36	0.365069562021664	0.584	0.284	2.64881116914483e-32	1	Tlr2
8.40005489972066e-36	0.355760672009533	0.298	0.077	1.15366353992764e-31	1	Il10
2.76071042623158e-34	0.359893235609585	0.948	0.848	3.79155969938646e-30	1	Nfkbia
4.3789741669374e-34	0.452773985164063	0.811	0.681	6.01408312087183e-30	1	Id2
2.14410442069674e-33	0.326614230185021	0.345	0.12	2.94471301138491e-29	1	Hilpda
4.32451308262312e-33	0.378954984870511	0.65	0.43	5.9392862676746e-29	1	Sod2
6.70735538305869e-33	0.274294754580752	0.38	0.133	9.2118818830928e-29	1	Txnrd1
6.89383054951963e-33	0.415634767622399	0.898	0.802	9.46798687671026e-29	1	Cstb
3.98130678523505e-32	0.291444387391015	0.423	0.164	5.46792673884182e-28	1	Maff
3.54332719374929e-31	0.262974288399346	0.336	0.109	4.86640556789527e-27	1	Gm6377
