,GSE,study_accession,secondary_sample_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,fastq_ftp,submitted_ftp,ftp,technology,fq_dump,bam
1,GSE154817,PRJNA647813,SRS7052768,SAMN15590302,SRX8784039,SRR12279263,10090,Mus musculus,ftp.sra.ebi.ac.uk/vol1/fastq/SRR122/063/SRR12279263/SRR12279263_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR122/063/SRR12279263/SRR12279263_2.fastq.gz,NA,ftp.sra.ebi.ac.uk/vol1/srr/SRR122/063/SRR12279263,10x,no,no
2,GSE154817,PRJNA647813,SRS7052768,SAMN15590302,SRX8784039,SRR12279264,10090,Mus musculus,ftp.sra.ebi.ac.uk/vol1/fastq/SRR122/064/SRR12279264/SRR12279264_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR122/064/SRR12279264/SRR12279264_2.fastq.gz,NA,ftp.sra.ebi.ac.uk/vol1/srr/SRR122/064/SRR12279264,10x,no,no
