p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
3.85417356521978e-244	1.32187359638434	0.957	0.441	6.18055272918644e-240	0	Htra3
7.90040246936597e-224	1.21287337893925	0.996	0.675	1.26690853998753e-219	0	Serping1
7.14976232890265e-219	1.60093865901463	0.996	0.845	1.14653588706283e-214	0	Gsn
9.48597203731685e-176	1.43461449473297	0.792	0.253	1.52117047590413e-171	0	Clec3b
6.73734084237951e-166	0.913903279373879	0.853	0.286	1.08039997748398e-161	0	Entpd2
1.06502413273022e-153	0.805460293469936	0.661	0.095	1.70787269924618e-149	0	Tnxb
2.56744973202983e-151	1.40553134572485	0.837	0.44	4.11716239028304e-147	0	C3
2.03652890597026e-150	1.15631122957661	0.975	0.616	3.26577775361391e-146	0	Col3a1
1.69335270909497e-147	0.968018359277095	0.984	0.749	2.7154604043047e-143	0	Igfbp4
1.12018745033887e-139	0.932375584279721	0.627	0.107	1.79633259536341e-135	0	Gfpt2
1.18072695047678e-138	0.840885063763046	0.961	0.531	1.89341373778456e-134	0	Cygb
1.20698777466807e-138	0.863024545830642	0.68	0.13	1.93552559545772e-134	0	C1s1
2.38175472020599e-138	1.76985451516742	0.826	0.489	3.81938186932233e-134	0	Pi16
1.21693543947589e-136	0.929978450910024	0.975	0.669	1.95147767074353e-132	0	Fbln1
4.146176895077e-136	0.813991426568695	0.578	0.08	6.64880926894547e-132	0	Srpx
6.99388947633513e-135	1.08386546159186	0.944	0.555	1.1215401164251e-130	0	Ly6a
1.1976951207618e-132	0.852980471600985	0.946	0.678	1.92062389565363e-128	0	Ecm1
1.20703163037083e-132	1.22236800080499	0.878	0.472	1.93559592246266e-128	0	Mfap5
2.3976778645485e-130	0.697560554020448	0.641	0.13	3.84491622358998e-126	0	Lamc1
1.99916404341137e-128	0.755767917997638	0.761	0.347	3.20585946001446e-124	0	Axl
2.17963507394247e-126	1.12878396727314	0.935	0.614	3.49526280457414e-122	0	Gm9973
