"0" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12"
"Limch1" 0.141176470588235 0.0519480519480519 0.388888888888889 0.479166666666667 0.238636363636364 0.142857142857143 0.63768115942029 0 0.829268292682927 0 0.871794871794872 0.236842105263158 1.12
"Herc3" 0.00588235294117647 0.0194805194805195 0.0277777777777778 0.0520833333333333 0.0909090909090909 0.0476190476190476 0.0579710144927536 0.0784313725490196 0 0 0 0 0
"B4galt6" 0.0470588235294118 0.0844155844155844 0.037037037037037 0.145833333333333 0.147727272727273 0.107142857142857 0.318840579710145 0.176470588235294 0.268292682926829 0.538461538461538 0.256410256410256 0.0789473684210526 0.36
"Robo2" 0 0.00649350649350649 0 0.0520833333333333 0 0.0238095238095238 0 0 0 0 0 0.0526315789473684 0
"Arhgef7" 0.194117647058824 0.12987012987013 0.12037037037037 0.270833333333333 0.147727272727273 0.523809523809524 0.27536231884058 0.0392156862745098 0.146341463414634 0.0512820512820513 0.256410256410256 0.789473684210526 0.24
"Emid1" 0.0294117647058823 0.0324675324675325 0.0277777777777778 0.03125 0.0909090909090909 0 0.0579710144927536 0.0588235294117647 0.024390243902439 0 0.333333333333333 0 0
"Apex2" 0.0176470588235294 0.0649350649350649 0.0277777777777778 0.0520833333333333 0.0568181818181818 0 0.0289855072463768 0.0784313725490196 0.0487804878048781 0.0256410256410256 0.0256410256410256 0 0.04
"Zfp273" 0 0.012987012987013 0.0277777777777778 0.0104166666666667 0.0113636363636364 0 0.0434782608695652 0.117647058823529 0 0 0 0 0
"Dock4" 0.0470588235294118 0.0519480519480519 0.111111111111111 0.03125 0.136363636363636 0.119047619047619 0.072463768115942 0.117647058823529 0.24390243902439 0.230769230769231 0.307692307692308 0.342105263157895 0
"Whrn" 0.0117647058823529 0.0194805194805195 0.00925925925925926 0.09375 0.102272727272727 0 0.0579710144927536 0 0 0 0 0 0.04
"Acaa1a" 0.217647058823529 0.396103896103896 0.5 0.635416666666667 0.488636363636364 0.0595238095238095 0.449275362318841 0.196078431372549 0.634146341463415 0.358974358974359 0.333333333333333 0.0526315789473684 0.4
"Ydjc" 0 0.00649350649350649 0 0.0208333333333333 0 0 0 0 0 0.0256410256410256 0 0.0263157894736842 0
"Setd4" 0.0588235294117647 0.0324675324675325 0.0833333333333333 0.125 0.102272727272727 0.202380952380952 0.0869565217391304 0 0.0487804878048781 0 0 0.0263157894736842 0.08
"9930021J03Rik" 0.0705882352941176 0.103896103896104 0.240740740740741 0.104166666666667 0.102272727272727 0 0.115942028985507 0.0392156862745098 0.0975609756097561 0.128205128205128 0.0769230769230769 0.105263157894737 0.04
"Ubxn4" 0.288235294117647 0.376623376623377 0.416666666666667 0.572916666666667 0.318181818181818 0.428571428571429 0.420289855072464 0.509803921568627 0.317073170731707 0.615384615384615 0.641025641025641 0.605263157894737 0.36
"Snap47" 0.0235294117647059 0.103896103896104 0.222222222222222 0.53125 0.193181818181818 0 0.376811594202899 0.0588235294117647 0.292682926829268 0.0256410256410256 0.153846153846154 0.0263157894736842 0.04
"Sbf1" 0.0117647058823529 0.038961038961039 0.0740740740740741 0.09375 0.0909090909090909 0 0.0579710144927536 0.0588235294117647 0.121951219512195 0.0256410256410256 0 0 0
"Ckap5" 0.0117647058823529 0.0779220779220779 0.0740740740740741 0.15625 0.0568181818181818 0.0714285714285714 0.115942028985507 0.176470588235294 0.195121951219512 0.128205128205128 0.205128205128205 0.0526315789473684 0.32
"Stambp" 0.0588235294117647 0.0584415584415584 0.157407407407407 0.125 0.159090909090909 0 0.115942028985507 0.0392156862745098 0.146341463414634 0.128205128205128 0.0769230769230769 0.105263157894737 0.08
"Igf2bp1" 0.00588235294117647 0.012987012987013 0.00925925925925926 0.03125 0.0227272727272727 0 0.0289855072463768 0 0 0 0 0.0263157894736842 0
"Fbxo5" 0 0.00649350649350649 0 0.0104166666666667 0 0 0 0.156862745098039 0 0.0256410256410256 0 0.0263157894736842 0.04
"Rnf170" 0.0411764705882353 0.0714285714285714 0.185185185185185 0.0833333333333333 0.102272727272727 0 0.0869565217391304 0.0196078431372549 0.0731707317073171 0.0256410256410256 0.102564102564103 0 0.04
"Usp24" 0.0294117647058824 0.0519480519480519 0.0925925925925926 0.0625 0.113636363636364 0.0714285714285714 0.072463768115942 0.0588235294117647 0.170731707317073 0.128205128205128 0.0769230769230769 0 0.12
