"0" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12"
"Limch1" 1.64150943396226 0.996913580246914 0.654901960784314 0.984189723320158 1.03240740740741 0.614130434782609 1.24848484848485 1.22222222222222 0.130952380952381 0.0845070422535211 0.473684210526316 0.78125 0.333333333333333
"Herc3" 0.19811320754717 0.219135802469136 0.0941176470588235 0.632411067193676 0.037037037037037 0.157608695652174 0.157575757575758 0.157407407407407 0.0238095238095238 0.0845070422535211 0.12280701754386 0.03125 0.125
"B4galt6" 0.115566037735849 0.111111111111111 0.113725490196078 0.0553359683794466 0.0277777777777778 0.0706521739130435 0.096969696969697 0.0648148148148148 0.0595238095238095 0.154929577464789 0.0526315789473684 0.28125 0
"Arhgef7" 0.169811320754717 0.240740740740741 0.149019607843137 0.355731225296443 0.125 0.201086956521739 0.163636363636364 0.157407407407407 0.511904761904762 0.112676056338028 0.12280701754386 0.125 0.416666666666667
"Psd" 0.00235849056603774 0.0123456790123457 0 0.00790513833992095 0.00925925925925926 0.0217391304347826 0.0242424242424242 0 0 0 0 0 0
"Emid1" 0.0306603773584906 0.0493827160493827 0.0431372549019608 0.0118577075098814 0.00462962962962963 0.0706521739130435 0.0181818181818182 0.0185185185185185 0.285714285714286 0.0563380281690141 0.0526315789473684 0 0
"Apex2" 0.035377358490566 0.0308641975308642 0.0274509803921569 0.00790513833992095 0.00462962962962963 0.0326086956521739 0.0181818181818182 0 0.0357142857142857 0.0422535211267606 0 0.09375 0
"Zfp273" 0.0165094339622642 0.0123456790123457 0.0235294117647059 0 0.00462962962962963 0.0217391304347826 0.0242424242424242 0.0185185185185185 0.0119047619047619 0.0563380281690141 0.0526315789473684 0 0
"Dock4" 0.0731132075471698 0.0648148148148148 0.0666666666666667 0.075098814229249 0.0277777777777778 0.0706521739130435 0.0606060606060606 0.0555555555555555 0 0.0704225352112676 0.087719298245614 0.0625 0.458333333333333
"Whrn" 0.0283018867924528 0.0185185185185185 0.0156862745098039 0.0158102766798419 0 0.0271739130434783 0.00606060606060606 0.0185185185185185 0.0119047619047619 0.0563380281690141 0 0 0
"Acaa1a" 0.787735849056604 0.774691358024691 0.631372549019608 0.529644268774703 0.87037037037037 0.804347826086956 0.563636363636364 0.731481481481481 0.547619047619048 0.732394366197183 0.385964912280702 1.125 0.458333333333333
"Ydjc" 0.0117924528301887 0.0216049382716049 0.0274509803921569 0 0.00925925925925926 0.00543478260869565 0 0 0 0 0 0.03125 0
"Setd4" 0.0636792452830189 0.0339506172839506 0.0705882352941176 0.0158102766798419 0.00462962962962963 0.119565217391304 0.0363636363636364 0.0833333333333333 0.0595238095238095 0.0704225352112676 0.0350877192982456 0 0.0416666666666667
"9930021J03Rik" 0.129716981132075 0.145061728395062 0.141176470588235 0.0276679841897233 0.0416666666666667 0.119565217391304 0.096969696969697 0.0277777777777778 0.119047619047619 0.126760563380282 0.140350877192982 0.0625 0.125
"Ubxn4" 0.679245283018868 0.617283950617284 0.768627450980392 0.264822134387352 0.824074074074074 0.66304347826087 0.763636363636364 0.666666666666667 0.380952380952381 0.71830985915493 0.649122807017544 0.71875 0.708333333333333
"Snap47" 0.22877358490566 0.16358024691358 0.192156862745098 0.0395256916996047 0.037037037037037 0.135869565217391 0.121212121212121 0.0462962962962963 0.178571428571429 0.323943661971831 0.175438596491228 0 0
"Sbf1" 0.0542452830188679 0.0432098765432099 0.0666666666666667 0.0237154150197628 0.0185185185185185 0.0597826086956522 0.0363636363636364 0 0.0357142857142857 0.126760563380282 0.0175438596491228 0 0
"Ckap5" 0.153301886792453 0.157407407407407 0.180392156862745 0.0711462450592885 0.0277777777777778 0.179347826086957 0.096969696969697 0.0648148148148148 0.107142857142857 0.169014084507042 0.175438596491228 0.03125 0
"Stambp" 0.132075471698113 0.141975308641975 0.0823529411764706 0.0671936758893281 0.0185185185185185 0.146739130434783 0.096969696969697 0.0833333333333333 0.107142857142857 0.126760563380282 0.105263157894737 0.0625 0.0416666666666667
"Igf2bp1" 0.00471698113207547 0.0154320987654321 0.0117647058823529 0.0197628458498024 0 0.0108695652173913 0 0 0.0119047619047619 0 0 0 0
