"0" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16" "17"
"Limch1" 0.0313479623824451 0.0528301886792453 0.0128755364806867 0.427860696517413 0.0954773869346734 0.0382165605095541 0.00684931506849315 0.696969696969697 0.107142857142857 0.125 0.10958904109589 0.0285714285714286 0.0172413793103448 0.350877192982456 0.235294117647059 0 0.35 0.368421052631579
"Herc3" 0 0.0188679245283019 0.0257510729613734 0.0199004975124378 0.0201005025125628 0.0445859872611465 0.0136986301369863 0.0227272727272727 0.0267857142857143 0 0.0684931506849315 0.0142857142857143 0 0.0350877192982456 0 0 0 0
"B4galt6" 0.0407523510971787 0.030188679245283 0.175965665236052 0.0746268656716418 0.0603015075376884 0.0700636942675159 0.0136986301369863 0.136363636363636 0.0178571428571429 0.0625 0.0958904109589041 0.0571428571428571 0.189655172413793 0.12280701754386 0.0392156862745098 0.2 0.25 0.210526315789474
"Robo2" 0 0 0 0.00995024875621891 0 0 0 0 0.0178571428571429 0 0 0 0.0344827586206897 0 0 0 0 0
"Arhgef7" 0.0658307210031348 0.0679245283018868 0.0600858369098712 0.0696517412935323 0.115577889447236 0.0636942675159236 0.0479452054794521 0.196969696969697 0.0357142857142857 0.0520833333333333 0.219178082191781 0.128571428571429 0.0517241379310345 0.368421052631579 0.686274509803921 0.0285714285714286 0 0.105263157894737
"Psd" 0 0 0 0 0 0 0 0 0.0178571428571429 0 0.0273972602739726 0 0.0172413793103448 0 0 0 0 0
"Emid1" 0.0188087774294671 0.0339622641509434 0.00429184549356223 0.0149253731343284 0.0201005025125628 0.0509554140127388 0.0753424657534247 0 0.0446428571428571 0 0.0136986301369863 0 0 0.368421052631579 0.0196078431372549 0 0 0.263157894736842
"Apex2" 0 0.030188679245283 0.0214592274678112 0.0149253731343284 0.0402010050251256 0.0764331210191083 0 0.0378787878787879 0.0267857142857143 0.03125 0.0684931506849315 0 0.0172413793103448 0.0526315789473684 0 0 0 0
"Zfp273" 0 0.00754716981132075 0 0.00497512437810945 0.0100502512562814 0.00636942675159236 0 0.0303030303030303 0.0178571428571429 0 0 0.0428571428571429 0 0.0175438596491228 0 0 0 0
"Dock4" 0 0.0415094339622641 0.0987124463519313 0.0348258706467662 0.0653266331658292 0.0509554140127389 0.0136986301369863 0.159090909090909 0.0178571428571429 0.0208333333333333 0 0.185714285714286 0.0344827586206897 0.140350877192982 0.156862745098039 0.171428571428571 0.05 0
"Whrn" 0.00313479623824451 0.0113207547169811 0 0.109452736318408 0.0050251256281407 0.0127388535031847 0 0 0.0982142857142857 0 0.0273972602739726 0.0285714285714286 0 0 0 0.0285714285714286 0 0.0526315789473684
