,GSE,study_accession,secondary_sample_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,fastq_ftp,submitted_ftp,ftp,technology,fq_dump,bam
1,GSE154692,PRJNA647207,SRS7041376,SAMN15579662,SRX8770371,SRR12265196,10090,Mus musculus,ftp.sra.ebi.ac.uk/vol1/fastq/SRR122/096/SRR12265196/SRR12265196.fastq.gz,NA,ftp.sra.ebi.ac.uk/vol1/srr/SRR122/096/SRR12265196,10x,yes,no
2,GSE154692,PRJNA647207,SRS7041376,SAMN15579662,SRX8770371,SRR12265197,10090,Mus musculus,ftp.sra.ebi.ac.uk/vol1/fastq/SRR122/097/SRR12265197/SRR12265197.fastq.gz,NA,ftp.sra.ebi.ac.uk/vol1/srr/SRR122/097/SRR12265197,10x,yes,no
