p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
5.88629435273866e-219	1.08967578034749	0.868	0.63	8.08423666405127e-215	0	Pf4
9.46477654048184e-192	0.662664211872921	0.514	0.072	1.29989241006978e-187	0	Cbr2
4.81043605608959e-188	1.05398460447317	0.879	0.686	6.60665287943345e-184	0	H2-Aa
1.05604663769141e-174	1.02704847168562	0.879	0.708	1.45037445220538e-170	0	H2-Eb1
5.12936303597142e-164	1.12217428542289	0.963	0.882	7.04466719360315e-160	0	Cd74
2.83808982227855e-161	0.827902999904136	0.926	0.708	3.89783256191736e-157	0	Ifitm3
8.50433246572752e-156	0.761173942509644	0.983	0.867	1.16798502084302e-151	0	Apoe
3.71894850618819e-153	0.34405207189773	1	1	5.10760387839886e-149	0	Rps29
4.94196106968354e-147	0.975113581112715	0.897	0.724	6.78728933310337e-143	0	H2-Ab1
8.87541856418282e-145	0.632198807626949	0.792	0.643	1.21894998560487e-140	0	Ly6e
1.32884053545397e-142	0.603073899127875	0.932	0.809	1.82502959139249e-138	0	Ifitm2
1.57710057651162e-123	0.418294908608035	0.448	0.097	2.16598993178106e-119	0	Ms4a6b
2.37867380894472e-121	1.19690803982712	0.621	0.525	3.26687060920468e-117	0	Ccl7
9.23754434287213e-119	0.417115629019572	0.515	0.15	1.26868434005006e-114	0	Selenop
1.16765886030182e-114	0.449309814521573	0.475	0.128	1.60366267873852e-110	0	Fcgrt
5.48212489231258e-111	0.516121513967893	0.417	0.093	7.52915032710209e-107	0	Ltc4s
1.58332223147972e-110	0.769854086456528	0.931	0.84	2.17453475271425e-106	0	Ifi27l2a
1.32151874110307e-101	0.40748369731572	0.79	0.697	1.81497383903095e-97	0	Ctsc
1.60482968092018e-99	0.444934341897382	0.305	0.041	2.20407308377578e-95	0	Lyve1
6.06186807519428e-98	0.364152989862144	0.394	0.091	8.32536961447183e-94	0	Ifi203
3.98981637925154e-97	0.912837387144518	0.667	0.585	5.47961381526406e-93	0	Ccl2
4.72508848426376e-97	0.386062358316733	0.382	0.085	6.48943652428785e-93	0	Fxyd2
2.48723203113134e-96	0.516881943776084	0.573	0.434	3.41596447155578e-92	0	F13a1
3.24602503944602e-95	0.552490748247987	0.506	0.284	4.45809078917517e-91	0	Folr2
7.7602319212196e-94	0.322068832620746	0.345	0.067	1.0657902520603e-89	0	Gas6
1.34131102051815e-93	0.35984524078507	0.994	0.934	1.84215655557963e-89	0	Lyz2
1.04290158800734e-89	0.343951059053988	0.368	0.085	1.43232104096928e-85	0	Cfh
5.65565682297139e-89	0.469903797627877	0.468	0.159	7.7674790806689e-85	0	Klf2
2.76682839177375e-88	0.391985192810156	0.668	0.526	3.79996211326206e-84	0	Trf
3.77862558334086e-88	0.407217813749929	0.984	0.961	5.18956437616033e-84	0	Itm2b
9.09668284196333e-88	0.419188365135423	0.483	0.174	1.24933842151524e-83	0	Tsc22d3
3.07186910482435e-87	0.346877377129259	0.802	0.725	4.21890502856576e-83	0	Serinc3
1.97080023672012e-86	0.860295727126235	0.546	0.526	2.70669704511141e-82	0	Ccl12
4.01637721741156e-86	0.341092098030894	0.294	0.048	5.51609247039303e-82	0	Cd163
4.16730608203404e-82	0.34553110118341	0.44	0.147	5.72337817306555e-78	0	Glul
6.74740521695215e-81	0.635292121492789	0.937	0.904	9.26688632496209e-77	0	Mt1
9.57238129697909e-78	0.354516039350244	0.423	0.138	1.31467084732711e-73	0	Gm21188
4.58561656720462e-77	0.48428286936159	0.435	0.155	6.29788579339882e-73	0	Jun
4.88431190394347e-76	0.344483295911949	0.781	0.707	6.70811396887596e-72	0	Tmem176b
2.41323318721078e-75	0.404898564246869	0.678	0.613	3.31433445931528e-71	0	Marcksl1
2.57985894593003e-74	0.311180289977769	0.343	0.09	3.5431782763403e-70	0	Ifi204
2.34966850675102e-72	1.13068240235325	0.458	0.411	3.22703472717185e-68	0	Ccl8
3.02426213133559e-72	0.321747889976565	0.701	0.697	4.1535216111763e-68	0	Ninj1
3.22761046840138e-70	0.624794225133012	0.608	0.654	4.43280021730245e-66	0	Ccl3
1.17800142645404e-68	0.439311921929711	0.729	0.609	1.61786715909198e-64	0	Ccl9
6.37166973998787e-68	0.335875239019468	0.469	0.194	8.75085122089934e-64	0	Ifi207
1.01360711203564e-67	0.267319363798444	0.417	0.15	1.39208800766975e-63	0	Clec4a2
5.4037262360538e-67	0.274699562852987	0.292	0.069	7.42147761259629e-63	0	Rtp4
1.58237966658896e-66	0.302797267959848	0.24	0.04	2.17324023409328e-62	0	Ccl24
4.69384407310066e-66	0.255081085402456	0.337	0.097	6.44652544999645e-62	0	Igfbp4
1.10319196181826e-64	0.250268953402624	0.24	0.042	1.5151238403612e-60	0	Clec10a
1.55124978917505e-64	1.05746611141228	0.714	0.76	2.13048646045301e-60	0	Ccl4
1.84605053697824e-64	0.973554782826701	0.805	0.77	2.53536580748592e-60	0	Cxcl2
6.96672501331844e-63	0.287389713969475	0.328	0.095	9.56810013329154e-59	0	Cd36
1.03652645834293e-62	0.271091384442845	0.466	0.197	1.42356543788819e-58	0	Olfr1033
1.37469718743266e-62	0.425502382836417	0.317	0.09	1.88800911722001e-58	0	Isg15
1.64420420154776e-62	0.502659358713211	0.463	0.217	2.2581500504057e-58	0	Hmox1
2.2094155128294e-61	0.424254440228453	0.518	0.564	3.0344112653199e-57	0	Hspa1a
1.48308269447687e-60	0.258167207029115	0.988	0.96	2.03686577259454e-56	0	C1qc
9.56056608909538e-60	0.367275143413414	0.539	0.459	1.31304814667636e-55	0	Ier3
2.71115733067161e-59	0.338579563586176	0.6	0.44	3.72350347794439e-55	0	Ms4a6c
8.50535062467819e-57	0.328319265857124	0.596	0.443	1.1681248547933e-52	0	Mrc1
5.75826999856399e-55	0.278491154101612	0.989	0.956	7.90840801602778e-51	0	C1qa
2.1659264394146e-54	0.267986978318744	0.493	0.237	2.97468337189202e-50	0	Cep85
8.35062557833937e-53	0.36773140163201	0.584	0.567	1.14687491692913e-48	0	Fos
1.11139238274301e-51	0.328760588031114	0.536	0.454	1.52638629845925e-47	0	Mgl2
2.4506625456316e-51	0.279760755300092	0.299	0.099	3.36573994017044e-47	0	Fcgr1
3.14001959237659e-49	0.279554087174686	0.603	0.592	4.31250290817e-45	0	Bst2
7.79128266002671e-48	0.291688946730795	0.186	0.033	1.07005476052807e-43	0	Fcna
9.75521245825626e-48	0.263021591645483	0.33	0.123	1.33978087901691e-43	0	Mndal
1.23431515013148e-47	0.333530126817257	0.707	0.754	1.69520842719058e-43	0	Kdm6b
7.47114860532384e-46	0.330415590549463	0.239	0.068	1.02608754945518e-41	0	Irf7
9.55607804413712e-46	0.250712619314177	0.3	0.105	1.31243175858179e-41	0	Egr1
8.134823967733e-44	0.324371705321837	0.141	0.019	1.11723672372845e-39	0	Cd209f
1.68729248742983e-43	0.259937083062906	0.632	0.65	2.31732750223613e-39	0	Dusp1
6.19284489570103e-43	0.258403917885986	0.421	0.201	8.50525317975579e-39	0	Cfp
1.107704856033e-42	0.449852096192064	0.159	0.027	1.52132184927573e-38	0	Ly6a
1.97193128655296e-42	0.271258992508537	0.549	0.426	2.70825042895184e-38	0	Zfp36l1
2.73480581773937e-42	0.447486993566589	0.758	0.609	3.75598231008326e-38	0	Ccl6
2.08371792567809e-41	0.359421936712746	0.378	0.174	2.86177819912629e-37	0	Hspa1b
3.51042432383926e-40	0.353225994019754	0.339	0.143	4.82121676636083e-36	0	Hes1
5.64864136058112e-39	0.285685798235701	0.644	0.488	7.75784404462212e-35	0	Maf
3.67297331595395e-36	0.257268049418928	0.619	0.647	5.04446155213115e-32	0	Hsp90aa1
8.85187985856375e-36	0.272988997646454	0.522	0.356	1.21571717977515e-31	0	H2-DMb1
5.0886850519105e-35	0.289681921471028	0.869	0.864	6.98880005029389e-31	0	Junb
1.24144828159151e-34	0.352052096457886	0.266	0.104	1.70500506993779e-30	0	Cxcl10
2.07175787676247e-32	0.375622439553012	0.367	0.194	2.84535226794557e-28	0	Mt2
2.02292309602778e-31	0.278239051985885	0.779	0.841	2.77828258008455e-27	0	Sdc4
3.67090659765342e-29	0.319167021284131	0.305	0.145	5.04162312121721e-25	0	Gdf15
9.75993092348468e-27	0.329724338902418	0.292	0.145	1.34042891303139e-22	0	Plk4
1.27222143620779e-26	0.540713882433677	0.304	0.157	1.74726892048777e-22	0	Cxcl1
3.84896281728682e-22	0.41474202708659	0.885	0.877	5.28616553326172e-18	0	Wfdc17
6.53081708618716e-17	0.269509475067434	0.125	0.044	8.96942418616945e-13	0	Ccl5
2.48102036909485e-207	0.701772325196504	0.985	0.894	3.40743337491487e-203	1	Atox1
1.99015420887886e-195	1.16631971036822	0.752	0.314	2.73327779047422e-191	1	Cd9
4.9435917495006e-170	0.943702485150318	0.633	0.123	6.78952890876412e-166	1	AA467197
1.01830638204676e-165	1.07865113413784	0.895	0.669	1.39854198510303e-161	1	Lgals3
1.99921787840148e-138	0.598337609719162	0.594	0.14	2.7457258341966e-134	1	Cd72
2.34588207878751e-137	1.95314418326489	0.612	0.195	3.22183444700676e-133	1	Spp1
1.04633369837154e-122	0.703763814426157	0.882	0.718	1.43703470134347e-118	1	Ms4a7
1.28328744465924e-114	0.567575112128586	0.942	0.77	1.76246697649501e-110	1	Fxyd5
7.8665204362833e-113	0.513981799760088	0.552	0.153	1.08038791671915e-108	1	Aprt
3.77734938983818e-111	0.604790574698558	0.624	0.213	5.18781165200375e-107	1	Abcg1
2.42762873099153e-97	0.508291710334545	0.849	0.623	3.33410529914377e-93	1	Cxcl16
8.75516539634634e-97	0.579615715603399	0.584	0.22	1.20243441553421e-92	1	Hexb
1.54896726253548e-93	0.577616296168085	0.675	0.402	2.12735163836623e-89	1	Capg
1.39293878714251e-91	0.4096582575613	0.499	0.136	1.91306213026152e-87	1	2010111I01Rik
1.19681074485428e-89	0.55405370821564	0.679	0.442	1.64369987698286e-85	1	Trem2
1.81585985643011e-88	0.487061794914616	1	1	2.49390192682111e-84	1	Fth1
2.82186082841806e-88	0.712903215368976	0.809	0.578	3.87554366174937e-84	1	S100a6
5.12627521218638e-87	0.478856715271731	0.56	0.206	7.04042637641677e-83	1	Ckb
8.26425950200972e-85	0.417123346563627	0.479	0.136	1.13501340000601e-80	1	Glipr1
4.30003130074782e-77	0.462484444561708	0.741	0.534	5.90566298844705e-73	1	B4galt1
2.4992162369738e-73	0.416045713711743	0.619	0.285	3.43242357985981e-69	1	Ptms
9.37303679162285e-70	0.33428493003332	0.433	0.128	1.28729287296148e-65	1	Pmepa1
3.60955779919208e-69	0.432978754691459	0.586	0.279	4.9573666814104e-65	1	Aldoa
1.32868025718057e-67	0.290292490697653	0.227	0.024	1.8248094652118e-63	1	Pdpn
5.58286118091301e-67	0.345516486635537	0.992	0.96	7.66750154586593e-63	1	Sh3bgrl3
2.57128279004508e-64	0.407519623388554	0.722	0.487	3.53139978384791e-60	1	Lsp1
1.2044932596415e-62	0.354319705865231	0.477	0.174	1.65425104279164e-58	1	Rhoc
1.22680998070039e-61	0.42296606896635	0.943	0.817	1.68490082749392e-57	1	Cd52
7.97160269762462e-61	0.3520441525457	0.547	0.226	1.09481991449176e-56	1	Basp1
8.42576863688391e-59	0.364699517829231	0.792	0.667	1.15719506458964e-54	1	Anxa5
2.92499757406407e-58	0.275011320610747	1	1	4.0171916682196e-54	1	Rpl37
3.77650871150188e-58	0.33750378743325	0.442	0.174	5.18665706437669e-54	1	Gusb
5.51592731598774e-58	0.373610052475451	0.858	0.759	7.57557457577757e-54	1	Ctsz
5.43029132729866e-56	0.296927335052914	1	0.999	7.45796210891198e-52	1	Rps19
1.60822960350197e-54	0.348605296025744	0.963	0.918	2.2087425374496e-50	1	Cyba
1.77863334398156e-54	0.287163567450296	0.482	0.189	2.44277503462427e-50	1	Gngt2
1.54385997606535e-53	0.305361222956849	0.992	0.977	2.12033729112815e-49	1	Rplp0
4.0422273759979e-53	0.515092370068354	0.558	0.345	5.55159507819551e-49	1	S100a4
1.88148808528151e-51	0.370533403303797	0.649	0.49	2.58403573632563e-47	1	Igf1
