,GSE,study_accession,secondary_sample_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,fastq_ftp,submitted_ftp,ftp,technology,fq_dump,bam
1,GSE131776,PRJNA544955,SRS4824198,SAMN11867221,SRX5904090,SRR9130203,10090,Mus musculus,ftp.sra.ebi.ac.uk/vol1/fastq/SRR913/003/SRR9130203/SRR9130203_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR913/003/SRR9130203/SRR9130203_2.fastq.gz,NA,ftp.sra.ebi.ac.uk/vol1/srr/SRR913/003/SRR9130203,10x,no,no
2,GSE131776,PRJNA544955,SRS4824198,SAMN11867221,SRX5904090,SRR9130204,10090,Mus musculus,ftp.sra.ebi.ac.uk/vol1/fastq/SRR913/004/SRR9130204/SRR9130204_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR913/004/SRR9130204/SRR9130204_2.fastq.gz,NA,ftp.sra.ebi.ac.uk/vol1/srr/SRR913/004/SRR9130204,10x,no,no
