"0" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15"
"Limch1" 0 0.00352733686067019 0.0017636684303351 0.00189753320683112 0 0.00464037122969838 0.00714285714285714 0 0.0048661800486618 0 0.00278551532033426 0 0 0 0.00625 0
"Herc3" 0.0220338983050847 0.00705467372134039 0.0105820105820106 0.0094876660341556 0.0110132158590308 0.0162412993039443 0.0142857142857143 0.0265700483091787 0.0218978102189781 0.0077120822622108 0.00835654596100279 0.0103448275862069 0.0159362549800797 0.0155440414507772 0.0375 0
"B4galt6" 0.152542372881356 0.18694885361552 0.167548500881834 0.267552182163188 0.306167400881057 0.155452436194896 0.326190476190476 0.0966183574879227 0.250608272506083 0.172236503856041 0.172701949860724 0.303448275862069 0.0756972111553785 0.186528497409326 0.25625 0.125
"Robo2" 0.00169491525423729 0.00352733686067019 0 0.00189753320683112 0 0 0.00238095238095238 0 0.0048661800486618 0 0 0 0 0.00518134715025907 0 0
"Arhgef7" 0.0898305084745763 0.0317460317460317 0.054673721340388 0.0493358633776091 0.0374449339207048 0.0788863109048724 0.0357142857142857 0 0.048661800486618 0.10025706940874 0.0557103064066852 0.0482758620689655 0 0.0829015544041451 0.08125 0.0535714285714286
"Apex2" 0.00677966101694915 0.0105820105820106 0.00352733686067019 0.015180265654649 0.0220264317180617 0.00464037122969838 0.0142857142857143 0.00966183574879227 0.0170316301703163 0.0205655526992288 0.00278551532033426 0.0137931034482759 0 0 0.03125 0
"Zfp273" 0 0.00352733686067019 0.00529100529100529 0.0113851992409867 0.00440528634361234 0 0 0 0.0097323600973236 0 0.00278551532033426 0 0.0159362549800797 0 0.00625 0.0178571428571429
"Dock4" 0.0728813559322034 0.0652557319223986 0.0405643738977072 0.0512333965844402 0.0462555066079295 0.0440835266821346 0.0404761904761905 0 0.0389294403892944 0.0539845758354756 0.052924791086351 0.0275862068965517 0 0.0569948186528497 0.05 0.0357142857142857
"Acaa1a" 0.113559322033898 0.112874779541446 0.0864197530864197 0.161290322580645 0.158590308370044 0.0904872389791183 0.130952380952381 0.0193236714975845 0.180048661800487 0.246786632390745 0.100278551532033 0.168965517241379 0.0159362549800797 0.16580310880829 0.15 0.196428571428571
"Ydjc" 0.00677966101694915 0.00881834215167548 0.0017636684303351 0.00569259962049336 0.00881057268722467 0.00232018561484919 0.00238095238095238 0 0.0121654501216545 0.0308483290488432 0.00835654596100278 0.00689655172413793 0 0 0.01875 0.0178571428571429
"Setd4" 0.0305084745762712 0.0194003527336861 0.017636684303351 0.015180265654649 0.0220264317180617 0.0139211136890951 0.0333333333333333 0 0.024330900243309 0.0565552699228792 0.0362116991643454 0.0482758620689655 0 0.0207253886010363 0.03125 0.0178571428571429
"9930021J03Rik" 0.0271186440677966 0.0352733686067019 0.0476190476190476 0.0379506641366224 0.0572687224669604 0.0208816705336427 0.0428571428571429 0 0.0267639902676399 0.0282776349614396 0.064066852367688 0.0310344827586207 0 0.0259067357512953 0.0375 0.0714285714285714
"Ubxn4" 0.313559322033898 0.2663139329806 0.328042328042328 0.170777988614801 0.202643171806167 0.146171693735499 0.288095238095238 0.0845410628019324 0.218978102189781 0.272493573264781 0.242339832869081 0.210344827586207 0.0597609561752988 0.253886010362694 0.18125 0.178571428571429
"Snap47" 0.011864406779661 0.00352733686067019 0.0141093474426808 0.0113851992409867 0.0242290748898678 0.00928074245939675 0.00476190476190476 0 0.0194647201946472 0.0231362467866324 0.00835654596100279 0.0137931034482759 0 0.00518134715025907 0.01875 0
"Sbf1" 0.0322033898305085 0.0123456790123457 0.0194003527336861 0.00569259962049336 0.026431718061674 0.0208816705336427 0.019047619047619 0 0.0218978102189781 0.0231362467866324 0.0194986072423398 0.0172413793103448 0 0.0103626943005181 0.04375 0.0178571428571429
"Ckap5" 0.0254237288135593 0.0299823633156966 0.0335097001763668 0.0455407969639469 0.0484581497797357 0.0208816705336427 0.0357142857142857 0 0.0583941605839416 0.025706940874036 0.0362116991643454 0.0413793103448276 0 0.0310880829015544 0.175 0
"Stambp" 0.0271186440677966 0.0299823633156966 0.017636684303351 0.0341555977229602 0.0462555066079295 0.0232018561484919 0.0214285714285714 0.0338164251207729 0.0535279805352798 0.0591259640102828 0.0362116991643454 0.0310344827586207 0 0.0362694300518135 0.05625 0.0178571428571429
"Igf2bp1" 0.00508474576271186 0.00705467372134039 0.00529100529100529 0.00569259962049336 0.0066079295154185 0.00464037122969838 0.00238095238095238 0 0.0024330900243309 0.0025706940874036 0.00835654596100279 0.0172413793103448 0.0278884462151394 0 0.00625 0
"Fbxo5" 0.00169491525423729 0.00352733686067019 0 0.00189753320683112 0.00220264317180617 0.00928074245939675 0.00714285714285714 0 0 0.0051413881748072 0 0 0 0 0.15 0
