"0" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11"
"Limch1" 0.0045662100456621 0 0 0.0382775119617225 0.0360824742268041 0.0952380952380952 0.00625 0.00813008130081301 0 0.0757575757575758 0 0
"B4galt6" 0 0.0230263157894737 0.0225563909774436 0.00956937799043062 0.00515463917525773 0.00529100529100529 0 0 0 0.0303030303030303 0 0
"Arhgef7" 0.0076103500761035 0.00657894736842105 0.0037593984962406 0 0 0.00529100529100529 0.0125 0.016260162601626 0 0.0303030303030303 0 0
"Emid1" 0.0030441400304414 0 0 0 0 0.00529100529100529 0.00625 0.00813008130081301 0 0 0 0
"Apex2" 0.0015220700152207 0.00328947368421053 0 0 0.00515463917525773 0.0158730158730159 0 0 0 0 0 0.0555555555555556
"Dock4" 0 0.00657894736842105 0.0037593984962406 0.0191387559808612 0.00515463917525773 0.00529100529100529 0.00625 0 0 0.0151515151515152 0 0
"Acaa1a" 0.0639269406392694 0.0657894736842105 0.037593984962406 0.0717703349282297 0.0824742268041237 0.037037037037037 0.06875 0.00813008130081301 0.0625 0.0454545454545455 0.107142857142857 0.111111111111111
"9930021J03Rik" 0.0091324200913242 0.00657894736842105 0.0037593984962406 0.0143540669856459 0.00515463917525773 0 0.00625 0 0.025 0 0 0
"Ubxn4" 0.0563165905631659 0.0493421052631579 0.0451127819548872 0.0813397129186603 0.077319587628866 0.0793650793650794 0.06875 0.0894308943089431 0.05 0.0909090909090909 0.0714285714285714 0.0555555555555556
"Snap47" 0.015220700152207 0.00986842105263158 0.0112781954887218 0.0191387559808612 0.0360824742268041 0.0793650793650794 0.025 0 0.0125 0.0151515151515152 0.0714285714285714 0
"Sbf1" 0.0060882800608828 0 0 0.00478468899521531 0.00515463917525773 0 0 0 0 0 0 0
"Ckap5" 0.0030441400304414 0.0131578947368421 0.0075187969924812 0.0143540669856459 0.00515463917525773 0.00529100529100529 0 0 0.0125 0.0151515151515152 0.0714285714285714 0
"Stambp" 0 0.00328947368421053 0.0075187969924812 0 0.0103092783505155 0.0158730158730159 0.01875 0 0 0 0.0357142857142857 0
"Rnf170" 0.0030441400304414 0 0.0037593984962406 0.00956937799043062 0.0103092783505155 0.00529100529100529 0 0.00813008130081301 0 0.0303030303030303 0 0
"Usp24" 0.0030441400304414 0.00328947368421053 0 0.0143540669856459 0.0103092783505155 0.00529100529100529 0.01875 0.00813008130081301 0 0 0 0
"Mcmbp" 0.0091324200913242 0.0197368421052632 0.0075187969924812 0.0191387559808612 0.0257731958762887 0.0211640211640212 0.025 0.024390243902439 0 0 0 0
"Svil" 0.0136986301369863 0.00986842105263158 0.018796992481203 0.0143540669856459 0.0257731958762887 0.0317460317460317 0.03125 0.00813008130081301 0.025 0.0151515151515152 0 0
"Scn2b" 0.0030441400304414 0 0 0 0 0.00529100529100529 0.01875 0 0 0 0 0
"Myo5a" 0.0030441400304414 0.0328947368421053 0.018796992481203 0.00478468899521531 0.00515463917525773 0 0 0 0 0 0 0
"Sppl3" 0.0060882800608828 0.00986842105263158 0.0112781954887218 0.0143540669856459 0 0.0158730158730159 0.00625 0.00813008130081301 0 0 0 0
"Zfp638" 0.0106544901065449 0.00328947368421053 0.0075187969924812 0.0191387559808612 0.0103092783505155 0.0105820105820106 0.025 0.016260162601626 0.025 0 0.0357142857142857 0
