"0" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13"
"Herc3" 0.029806259314456 0.0503731343283582 0.0945179584120983 0.0164948453608247 0.0680473372781065 0.0703363914373089 0.0218978102189781 0.0193050193050193 0.0642570281124498 0.0283400809716599 0.0727272727272727 0.0208333333333333 0 0.12
"B4galt6" 0.0178837555886736 0.041044776119403 0.0359168241965974 0.171134020618557 0.00591715976331361 0.073394495412844 0.0547445255474453 0.0386100386100386 0.0200803212851406 0.0202429149797571 0.0181818181818182 0.0416666666666667 0.0526315789473684 0.08
"Arhgef7" 0.0312965722801788 0.0447761194029851 0.119092627599244 0.0474226804123711 0.0680473372781065 0.0458715596330275 0.0291970802919708 0.0308880308880309 0.0963855421686747 0.0931174089068826 0.0545454545454545 0.0625 0.0526315789473684 0.12
"Emid1" 0.0461997019374069 0.0167910447761194 0.0491493383742911 0 0.118343195266272 0 0 0.0115830115830116 0.00401606425702811 0.101214574898785 0.145454545454545 0 0 0.64
"Apex2" 0.0178837555886736 0.0186567164179104 0.0283553875236295 0.0144329896907217 0.0236686390532544 0.0152905198776758 0.00364963503649635 0.0154440154440154 0.00401606425702811 0.0404858299595142 0 0 0.0526315789473684 0.08
"Zfp273" 0.00745156482861401 0.00932835820895522 0.00756143667296786 0.00618556701030928 0.0177514792899408 0.00611620795107034 0.0072992700729927 0.00772200772200772 0.0120481927710843 0.048582995951417 0 0 0 0
"Dock4" 0.00447093889716841 0.00186567164179104 0.00945179584120983 0.0845360824742268 0.0118343195266272 0.0122324159021407 0.0766423357664234 0.00772200772200772 0.0120481927710843 0.0202429149797571 0.0363636363636364 0 0.184210526315789 0
"Whrn" 0.0342771982116244 0.00746268656716418 0.0623818525519849 0 0.103550295857988 0.0122324159021407 0.0145985401459854 0.0308880308880309 0.0321285140562249 0.048582995951417 0 0.0625 0 0
"Acaa1a" 0.0938897168405365 0.154850746268657 0.0680529300567108 0.218556701030928 0.0976331360946746 0.146788990825688 0.288321167883212 0.0540540540540541 0.208835341365462 0.145748987854251 0.181818181818182 0.145833333333333 0.105263157894737 0.12
"Ydjc" 0.00447093889716841 0.00932835820895522 0 0.0144329896907217 0 0.0152905198776758 0.0145985401459854 0.00386100386100386 0.00401606425702811 0.0283400809716599 0 0 0 0.12
"Setd4" 0.0283159463487332 0.0541044776119403 0.0434782608695652 0.022680412371134 0.0739644970414201 0.0489296636085627 0.0255474452554745 0.0231660231660232 0.0200803212851406 0.0526315789473684 0.0181818181818182 0 0 0
