p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
2.19770948425601e-48	0.439896006877445	0.819	0.515	3.56182776113372e-44	0	Mt1
3.42667612493892e-48	0.370614971400695	0.28	0.076	5.55361399568851e-44	0	Mmp23
9.29786417864905e-48	0.416701693962383	0.382	0.148	1.50690484743365e-43	0	Rnase4
4.78090997172067e-47	0.423353641801785	0.385	0.146	7.74842079116768e-43	0	Gstm1
1.05627531039261e-46	0.279631865867176	0.199	0.027	1.7119053955533e-42	0	Cpxm1
9.10068641942094e-46	0.330054518137418	0.24	0.054	1.47494824799555e-41	0	Olfml3
2.47779581318228e-43	0.254113171146749	0.231	0.046	4.01576367442453e-39	0	Gstt1
2.72951907511278e-43	0.360024563610239	0.986	0.899	4.42373156503529e-39	0	Itm2b
5.78362590188661e-42	0.292847851149972	0.975	0.783	9.37352249918763e-38	0	Lgals1
6.04313318151722e-41	0.518381078836004	0.522	0.296	9.79410594728496e-37	0	Nfia
1.31746076767913e-40	0.552952128664603	0.314	0.095	2.13520866617757e-36	0	Igfbp6
2.5220012187291e-40	0.392268009950303	0.382	0.137	4.08740737519426e-36	0	Plpp3
7.87555775499157e-40	0.285214873712336	0.197	0.049	1.27639164535148e-35	0	Pdgfrl
2.16851854729322e-39	0.416791231501056	0.452	0.286	3.51451800959813e-35	0	Nenf
1.59087138412984e-37	0.339955976075077	0.91	0.74	2.57832525225924e-33	0	Selenow
2.27929751932893e-37	0.399432843204224	0.457	0.273	3.6940574895764e-33	0	Selenom
5.02298384181068e-37	0.314303602969262	0.285	0.097	8.14074991242256e-33	0	Pdlim2
2.75573842948655e-36	0.322228162210576	0.306	0.099	4.46622527266885e-32	0	Islr
1.19228432420155e-32	0.371360824425537	0.256	0.075	1.93233520423345e-28	0	Igfbp5
1.95884151902305e-32	0.26825573350451	0.296	0.098	3.17469444988066e-28	0	Loxl1
9.82251126431902e-32	0.36261284618044	0.615	0.354	1.59193440060818e-27	0	Id3
1.31102781029043e-31	0.326269670002936	0.251	0.1	2.12478277213771e-27	0	Fhl1
4.55332350672853e-30	0.402513999366536	0.278	0.098	7.37957140735493e-26	0	Gdf10
4.67177596018874e-30	0.363237320373766	0.446	0.211	7.57154729867789e-26	0	C3
3.27553799115948e-29	0.342698932059912	0.425	0.196	5.30866442227217e-25	0	Mt2
6.19938398489905e-28	0.305200166092593	0.565	0.428	1.00473416243259e-23	0	Zbtb20
4.11280541569103e-27	0.345042110907939	0.566	0.329	6.66562373721046e-23	0	Serpinh1
1.0103093201006e-26	0.339054226689499	0.384	0.219	1.63740831508704e-22	0	Tuba1a
2.05331360945974e-26	0.323054847951058	0.414	0.199	3.32780536685141e-22	0	Rbp1
2.12166274189008e-26	0.267814141792012	0.324	0.217	3.43857880578125e-22	0	Cyb5a
2.40505875606932e-26	0.354967912472685	0.246	0.08	3.89787872596154e-22	0	Fmod
1.05430771508292e-25	0.480084384576925	0.326	0.136	1.70871651383489e-21	0	Mmp3
1.19472963455797e-25	0.289441480317992	0.477	0.378	1.93629831872811e-21	0	Bsg
1.40231351903716e-25	0.58525262347691	0.161	0.04	2.27272952030353e-21	0	Apod
1.80515358555099e-25	0.274814045782824	0.366	0.165	2.92561241610248e-21	0	Prelp
2.30684446333416e-25	0.266371785910857	0.289	0.11	3.73870282172567e-21	0	Htra3
3.40825094373969e-25	0.273898819394725	0.31	0.151	5.52375230451891e-21	0	Fcgrt
1.35095306761549e-24	0.255245204021121	0.305	0.155	2.18948963668443e-20	0	Nfib
1.55346030132452e-24	0.261168317351326	0.244	0.127	2.51769311035665e-20	0	Prdx4
5.91775411363836e-23	0.261537970562776	0.328	0.146	9.59090409197369e-19	0	Fxyd1
2.06239996912658e-21	0.476345787787024	0.312	0.145	3.34253162996345e-17	0	Sfrp4
2.49602057815461e-21	0.315642020059367	0.423	0.273	4.04530055101517e-17	0	Lrp1
