"0" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11"
"Limch1" 1.10376134889754 1.2976 1.15318416523236 1.4 0.845528455284553 1.14074074074074 0.42914979757085 1.02941176470588 1.00520833333333 1.03361344537815 0.494117647058823 0.863636363636364
"Herc3" 0.0920881971465629 0.1824 0.165232358003442 0.134939759036145 0.235772357723577 0.192592592592593 0.0769230769230769 0.117647058823529 0.0729166666666667 0.218487394957983 0.129411764705882 0.0227272727272727
"B4galt6" 0.0804150453955901 0.2208 0.182444061962134 0.178313253012048 0.24390243902439 0.114814814814815 0.0647773279352227 0.105042016806723 0.0520833333333333 0.184873949579832 0.0823529411764706 0.0227272727272727
"Arhgef7" 0.149156939040208 0.3376 0.23407917383821 0.243373493975904 0.24390243902439 0.248148148148148 0.117408906882591 0.151260504201681 0.078125 0.218487394957983 0.376470588235294 0.0681818181818182
"Psd" 0 0.0032 0.00860585197934595 0 0.002710027100271 0 0.00404858299595142 0.0126050420168067 0 0.00840336134453781 0 0
"Emid1" 0.0363164721141375 0.0848 0.0550774526678141 0.091566265060241 0.0677506775067751 0.0851851851851852 0.097165991902834 0.126050420168067 0.00520833333333333 0.0252100840336134 0.0235294117647059 0.0454545454545454
"Npb" 0.0012970168612192 0.0016 0.00172117039586919 0.00240963855421687 0 0.0148148148148148 0.00809716599190283 0.00420168067226891 0.00520833333333333 0.00840336134453781 0 0
"Apex2" 0.0116731517509728 0.0336 0.0309810671256454 0.0289156626506024 0.037940379403794 0.0407407407407407 0.0323886639676113 0.0294117647058824 0.0260416666666667 0.0252100840336134 0.0117647058823529 0
"Zfp273" 0.00259403372243839 0.0128 0.0137693631669535 0.0240963855421687 0.010840108401084 0.00740740740740741 0.0121457489878543 0.0126050420168067 0.0104166666666667 0.0252100840336134 0.0117647058823529 0.0227272727272727
"Dock4" 0.0259403372243839 0.0336 0.0344234079173838 0.0337349397590361 0.051490514905149 0.0222222222222222 0.0931174089068826 0.0252100840336134 0.0260416666666667 0.0420168067226891 0.0352941176470588 0
"Whrn" 0.012970168612192 0.0352 0.0206540447504303 0.0265060240963855 0.024390243902439 0.0148148148148148 0.0202429149797571 0.0588235294117647 0.0208333333333333 0.0252100840336134 0.0352941176470588 0.0227272727272727
"Acaa1a" 1.01297016861219 0.96 0.903614457831325 0.939759036144578 1.00271002710027 0.903703703703704 1.01214574898785 0.953781512605042 0.994791666666667 0.630252100840336 0.929411764705882 1.13636363636364
"Ydjc" 0.0103761348897536 0.0144 0.0172117039586919 0.00481927710843374 0.029810298102981 0.00740740740740741 0.00404858299595142 0.0168067226890756 0 0.0336134453781513 0 0
"Setd4" 0.0194552529182879 0.0448 0.0481927710843374 0.0289156626506024 0.0487804878048781 0.0555555555555556 0.0526315789473684 0.0378151260504202 0.0208333333333333 0.0672268907563025 0.0588235294117647 0
"9930021J03Rik" 0.072632944228275 0.1696 0.123924268502582 0.16144578313253 0.192411924119241 0.12962962962963 0.0809716599190283 0.130252100840336 0.0520833333333333 0.126050420168067 0.152941176470588 0.136363636363636
"Ubxn4" 0.90402075226978 0.8656 0.759036144578313 0.862650602409639 0.897018970189702 0.737037037037037 0.619433198380567 0.819327731092437 0.734375 0.588235294117647 0.68235294117647 1.13636363636364
"Snap47" 0.0648508430609598 0.1312 0.125645438898451 0.108433734939759 0.151761517615176 0.12962962962963 0.161943319838057 0.168067226890756 0.0572916666666667 0.210084033613445 0.164705882352941 0.0681818181818182
