"0" "1" "2" "3" "4" "5" "6" "7" "8" "9"
"Limch1" 0.0206185567010309 0.0113636363636364 0 0 0 0.166666666666667 0 0.257142857142857 0 0.529411764705882
"Herc3" 0 0.0340909090909091 0.0149253731343284 0.02 0 0 0.075 0.0285714285714286 0 0
"B4galt6" 0 0.0227272727272727 0.104477611940299 0.1 0 0.0714285714285714 0.125 0.0857142857142857 0.0476190476190476 0
"Arhgef7" 0.0412371134020618 0.0340909090909091 0.0447761194029851 0.02 0 0 0.075 0.371428571428571 0.0476190476190476 0.235294117647059
"Zfp273" 0 0.0113636363636364 0 0.04 0.0232558139534884 0.0238095238095238 0 0 0.0952380952380952 0.0588235294117647
"Dock4" 0.0206185567010309 0 0.0597014925373134 0.04 0 0.0238095238095238 0.125 0.142857142857143 0 0.294117647058824
"Acaa1a" 0.11340206185567 0.329545454545455 0.26865671641791 0.32 0.116279069767442 0.357142857142857 0.35 0.285714285714286 0.238095238095238 0.176470588235294
"Ydjc" 0.103092783505155 0 0.0149253731343284 0.02 0 0 0.025 0.0571428571428571 0 0
"9930021J03Rik" 0 0.0454545454545455 0 0.08 0.0465116279069767 0.0476190476190476 0.025 0.0571428571428571 0 0.117647058823529
"Ubxn4" 0.0927835051546392 0.318181818181818 0.208955223880597 0.4 0.372093023255814 0.357142857142857 0.5 0.4 0.285714285714286 0.352941176470588
"Snap47" 0.0103092783505155 0.238636363636364 0.0447761194029851 0 0 0.0714285714285714 0 0.142857142857143 0 0
"Sbf1" 0.0103092783505155 0.0113636363636364 0.104477611940299 0.08 0 0.0476190476190476 0.075 0.0571428571428571 0.142857142857143 0
"Ckap5" 0.0206185567010309 0.0227272727272727 0.0447761194029851 0 0 0.0476190476190476 0 0.142857142857143 0 0.117647058823529
"Stambp" 0.0103092783505155 0.0568181818181818 0.0149253731343284 0.02 0 0.0714285714285714 0.1 0.2 0 0
"Rnf170" 0 0.0227272727272727 0 0.04 0.0232558139534884 0.0476190476190476 0.025 0.0285714285714286 0 0.0588235294117647
"Usp24" 0.0412371134020619 0.0113636363636364 0.0746268656716418 0.12 0 0 0 0 0 0.176470588235294
"Mcmbp" 0.0309278350515464 0.261363636363636 0.119402985074627 0.42 0.0930232558139535 0.0714285714285714 0.175 0.0571428571428571 0.0952380952380952 0.176470588235294
"Agl" 0.0412371134020618 0.0113636363636364 0.567164179104477 0.04 0 0.0476190476190476 0 0 0 0
"Svil" 0.103092783505155 0.306818181818182 0.0895522388059701 0.36 0.255813953488372 0.142857142857143 0.1 0.257142857142857 0.0476190476190476 0.352941176470588
"Scn2b" 0.0206185567010309 0.0113636363636364 0 0.02 0.0232558139534884 0.0238095238095238 0.05 0.0285714285714286 0 0
"Myo5a" 0.0309278350515464 0.0454545454545455 0.164179104477612 0.08 0 0.0238095238095238 0.15 0.0857142857142857 0.142857142857143 0.117647058823529
"Sppl3" 0.0206185567010309 0.0568181818181818 0.0447761194029851 0.08 0 0.142857142857143 0.175 0.114285714285714 0.0476190476190476 0.117647058823529
"Zfp638" 0.0618556701030928 0.0568181818181818 0.0298507462686567 0.1 0 0.0476190476190476 0.1 0.228571428571429 0 0.117647058823529
"Dohh" 0.103092783505155 0.147727272727273 0.298507462686567 0.24 0 0.214285714285714 0.1 0.285714285714286 0.0952380952380952 0.176470588235294
"Ctc1" 0.0206185567010309 0 0.0597014925373134 0.02 0.0697674418604651 0 0.05 0.0857142857142857 0 0
"Plcb4" 0.0824742268041237 0.0568181818181818 0 0 0 0.0238095238095238 0 0.2 0.0476190476190476 0.235294117647059
"Lrig3" 0 0.113636363636364 0 0 0 0 0.025 0.0285714285714286 0 0.235294117647059
"Trak1" 0.11340206185567 0.0113636363636364 0.104477611940299 0.04 0.0930232558139535 0.0476190476190476 0.15 0.0571428571428571 0 0.0588235294117647
"Smarcc1" 0.0103092783505155 0 0.0447761194029851 0.1 0 0.0952380952380952 0.05 0.0857142857142857 0.0476190476190476 0
"Endov" 0 0.0454545454545455 0 0.04 0 0.0238095238095238 0 0.0571428571428571 0 0.0588235294117647
"Ipmk" 0.0206185567010309 0.0113636363636364 0.0149253731343284 0.14 0.209302325581395 0 0.1 0 0 0.0588235294117647
"Stxbp4" 0 0 0 0.04 0 0.0476190476190476 0 0.0571428571428571 0 0.0588235294117647
"Adam33" 0.0309278350515464 0.0454545454545454 0 0.06 0.0465116279069767 0 0 0 0 0.294117647058823
"Ncoa2" 0 0.0227272727272727 0.0149253731343284 0.08 0 0.0238095238095238 0.05 0.0285714285714286 0 0.176470588235294
"Ccdc137" 0.0309278350515464 0.0795454545454545 0.0597014925373134 0 0 0.0238095238095238 0.025 0.0857142857142857 0 0.0588235294117647
"Mapre3" 0 0.113636363636364 0 0.02 0 0.214285714285714 0 0.0285714285714286 0.0476190476190476 0.0588235294117647
"Frmd4a" 0.0412371134020619 0.0340909090909091 0.0447761194029851 0.02 0 0 0.15 0.142857142857143 0 0.117647058823529
"Atp6v0a2" 0.0103092783505155 0.0909090909090909 0.0746268656716418 0.1 0 0.0476190476190476 0.15 0.114285714285714 0 0.176470588235294
"Dlg1" 0.0309278350515464 0.0227272727272727 0.0597014925373134 0.06 0 0.0238095238095238 0.1 0.0285714285714286 0 0.176470588235294
"Txlna" 0.11340206185567 0.0454545454545455 0.0447761194029851 0.08 0.0465116279069767 0.119047619047619 0 0.228571428571429 0.0952380952380952 0.176470588235294
"Inpp4a" 0.11340206185567 0.0454545454545455 0.238805970149254 0.34 0.511627906976744 0.0952380952380952 0.15 0.2 0.19047619047619 0.0588235294117647
"Ccdc114" 0.0309278350515464 0 0 0.04 0 0.0238095238095238 0.025 0.0857142857142857 0 0.176470588235294
"Eml2" 0.103092783505155 0.102272727272727 0.0298507462686567 0.02 0 0.0952380952380952 0.05 0.0857142857142857 0.0476190476190476 0
