"0" "1" "2" "3" "4" "5" "6" "7" "8"
"Limch1" 0.0740740740740741 0.0125 0.012987012987013 0.0579710144927536 0 0 0 0 0.25
"B4galt6" 0.0246913580246914 0 0.038961038961039 0 0.0615384615384615 0.0384615384615385 0 0 0
"Arhgef7" 0 0.0125 0 0.0289855072463768 0.0307692307692308 0 0.027027027027027 0.117647058823529 0.1875
"Apex2" 0.0246913580246914 0 0 0.0434782608695652 0 0.0192307692307692 0 0 0
"Dock4" 0 0 0 0.0289855072463768 0 0.0192307692307692 0 0 0
"Whrn" 0 0 0 0 0 0 0.027027027027027 0 0
"Acaa1a" 0.234567901234568 0.0125 0.0779220779220779 0.289855072463768 0.153846153846154 0.230769230769231 0.0540540540540541 0.176470588235294 0.125
"9930021J03Rik" 0.0123456790123457 0 0 0.0289855072463768 0.0307692307692308 0.0384615384615385 0.027027027027027 0 0
"Ubxn4" 0.0987654320987654 0.125 0.116883116883117 0.173913043478261 0.0615384615384615 0.326923076923077 0.0810810810810811 0.470588235294118 0.3125
"Snap47" 0.0987654320987654 0.05 0.012987012987013 0.130434782608696 0.0153846153846154 0.0192307692307692 0.108108108108108 0 0.1875
"Sbf1" 0 0 0.038961038961039 0.0144927536231884 0.0307692307692308 0.0192307692307692 0 0 0
"Ckap5" 0 0 0.025974025974026 0.0579710144927536 0.0307692307692308 0.0192307692307692 0.027027027027027 0 0.125
"Stambp" 0.0246913580246914 0 0 0.0289855072463768 0.0461538461538461 0.0192307692307692 0 0 0.0625
"Rnf170" 0.0123456790123457 0 0 0.0289855072463768 0 0.0384615384615385 0 0.0588235294117647 0
"Usp24" 0 0.0125 0 0.0144927536231884 0 0.0384615384615385 0.0540540540540541 0 0
"Mcmbp" 0.246913580246914 0.1375 0.038961038961039 0.101449275362319 0.0153846153846154 0.0961538461538462 0.0540540540540541 0.0588235294117647 0.125
"Agl" 0.0123456790123457 0 0 0.0289855072463768 0.0461538461538462 0.0192307692307692 0 0 0
"Svil" 0.0493827160493827 0.0375 0.0779220779220779 0.231884057971014 0 0.0192307692307692 0 0.0588235294117647 0.1875
"Myo5a" 0.0123456790123457 0.025 0.025974025974026 0.0434782608695652 0.153846153846154 0.0384615384615385 0 0.0588235294117647 0
"Sppl3" 0.0123456790123457 0.025 0 0.0144927536231884 0 0.0961538461538462 0 0.117647058823529 0.125
"Zfp638" 0.0123456790123457 0.025 0.038961038961039 0.0434782608695652 0 0.0384615384615385 0.0540540540540541 0.0588235294117647 0
