"0" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12"
"Limch1" 0.847079037800687 0.978142076502732 1.07438016528926 0.887459807073955 0.868312757201646 0.242798353909465 0.45 0.85632183908046 0.482758620689655 1.19767441860465 0.36231884057971 0.0816326530612245 0.523809523809524
"Herc3" 0.0841924398625429 0.116575591985428 0.126721763085399 0.0192926045016077 0.119341563786008 0.0617283950617284 0.09 0.344827586206897 0.0896551724137931 0.151162790697674 0.173913043478261 0.142857142857143 0.0476190476190476
"B4galt6" 0.149484536082474 0.180327868852459 0.176308539944904 0.0643086816720257 0.275720164609053 0.139917695473251 0.21 0.109195402298851 0.137931034482759 0.27906976744186 0.173913043478261 0.102040816326531 0.333333333333333
"Arhgef7" 0.176975945017182 0.302367941712204 0.336088154269972 0.122186495176849 0.263374485596708 0.201646090534979 0.165 0.666666666666667 0.158620689655172 0.162790697674419 0.260869565217391 0.489795918367347 0.380952380952381
"Psd" 0.00859106529209622 0.00910746812386157 0.0330578512396694 0 0 0.00823045267489712 0 0 0.0137931034482759 0 0 0 0
"Emid1" 0.0189003436426117 0.0382513661202186 0.0303030303030303 0.00964630225080386 0.0329218106995885 0.0864197530864197 0.025 0.0114942528735632 0.0413793103448276 0.0232558139534884 0 0.224489795918367 0
"Apex2" 0.0274914089347079 0.0510018214936248 0.0633608815426997 0.0257234726688103 0.0411522633744856 0.0205761316872428 0.055 0.0114942528735632 0.0206896551724138 0.0581395348837209 0.0579710144927536 0.102040816326531 0
"Zfp273" 0.0103092783505155 0.0163934426229508 0.0110192837465565 0.0192926045016077 0.0205761316872428 0.00411522633744856 0.01 0.0172413793103448 0.0206896551724138 0 0.0579710144927536 0.0204081632653061 0
"Dock4" 0.0481099656357388 0.0746812386156648 0.0633608815426997 0.00964630225080386 0.0699588477366255 0.0288065843621399 0.11 0.132183908045977 0.0344827586206897 0.0348837209302326 0.0289855072463768 0.0408163265306122 0.142857142857143
"Whrn" 0.0292096219931271 0.0437158469945355 0.0606060606060606 0.0160771704180064 0.0534979423868313 0.0740740740740741 0.04 0 0.0275862068965517 0.104651162790698 0.0289855072463768 0 0
"Acaa1a" 0.65979381443299 0.867030965391621 0.942148760330578 0.897106109324759 0.777777777777778 0.757201646090535 0.645 0.994252873563218 0.710344827586207 0.918604651162791 0.623188405797101 0.612244897959184 0.761904761904762
"Ydjc" 0.00687285223367698 0.0145719489981785 0.0220385674931129 0.00321543408360129 0.0246913580246914 0.0164609053497942 0.03 0 0 0.0232558139534884 0 0 0
"Setd4" 0.0446735395189003 0.0546448087431694 0.0853994490358127 0.0289389067524116 0.0823045267489712 0.0411522633744856 0.065 0.0977011494252873 0.0620689655172414 0.0465116279069767 0.0434782608695652 0.0612244897959184 0
"9930021J03Rik" 0.0687285223367698 0.132969034608379 0.0991735537190083 0.045016077170418 0.11522633744856 0.152263374485597 0.095 0.0402298850574713 0.103448275862069 0.151162790697674 0.0289855072463768 0.122448979591837 0.0476190476190476
