"0" "1" "2" "3" "4" "5" "6" "7"
"Limch1" 0.0692307692307692 0.0660377358490566 0.699029126213592 0.010989010989011 0.134146341463415 0.745098039215686 0.0851063829787234 0
"Herc3" 0 0.0566037735849057 0.0388349514563107 0.0549450549450549 0.0365853658536585 0.0196078431372549 0 0
"B4galt6" 0.0384615384615385 0.160377358490566 0.145631067961165 0.450549450549451 0.121951219512195 0.196078431372549 0.0851063829787234 0.0263157894736842
"Arhgef7" 0.0615384615384615 0.150943396226415 0.203883495145631 0.120879120879121 0.109756097560976 0.137254901960784 0.148936170212766 0.0789473684210526
"Emid1" 0.0615384615384615 0.00943396226415094 0.058252427184466 0 0.0487804878048781 0.0196078431372549 0.0425531914893617 0
"Apex2" 0.00769230769230769 0.0849056603773585 0.0194174757281553 0.0879120879120879 0.024390243902439 0.0588235294117647 0 0
"Zfp273" 0.0769230769230769 0.0283018867924528 0 0.010989010989011 0.0121951219512195 0 0.0638297872340425 0
"Dock4" 0.00769230769230769 0.0754716981132075 0.0388349514563107 0.0549450549450549 0.0365853658536585 0.0392156862745098 0 0
"Whrn" 0 0.00943396226415094 0.00970873786407767 0 0.109756097560976 0 0.0212765957446809 0
"Acaa1a" 0.969230769230769 0.707547169811321 0.737864077669903 0.538461538461538 0.48780487804878 0.882352941176471 0.404255319148936 0.631578947368421
"Ydjc" 0 0.0471698113207547 0.0194174757281553 0 0.024390243902439 0.0392156862745098 0 0
"Setd4" 0 0.0566037735849057 0.00970873786407767 0.0769230769230769 0.146341463414634 0.0392156862745098 0.0638297872340425 0.0526315789473684
"9930021J03Rik" 0.0615384615384615 0.122641509433962 0.0485436893203883 0.0879120879120879 0.158536585365854 0.0784313725490196 0.0212765957446809 0.0526315789473684
"Ubxn4" 1.26153846153846 1.00943396226415 0.796116504854369 0.681318681318681 1.01219512195122 1.07843137254902 0.659574468085106 0.868421052631579
"Snap47" 0.153846153846154 0.216981132075472 0.184466019417476 0.043956043956044 0.170731707317073 0.333333333333333 0.212765957446809 0.0263157894736842
"Sbf1" 0 0.179245283018868 0.0970873786407767 0.164835164835165 0.109756097560976 0.0980392156862745 0.191489361702128 0.263157894736842
"Ckap5" 0.0230769230769231 0.150943396226415 0.106796116504854 0.0879120879120879 0.170731707317073 0.196078431372549 0.0638297872340425 0
"Stambp" 0.0692307692307692 0.150943396226415 0.058252427184466 0.0769230769230769 0.0853658536585366 0.137254901960784 0.127659574468085 0
"Igf2bp1" 0 0.00943396226415094 0.00970873786407767 0.010989010989011 0.024390243902439 0.0196078431372549 0 0
"Fbxo5" 0 0.0283018867924528 0.00970873786407767 0 0.0365853658536585 0.0392156862745098 0 0
"Rnf170" 0.0461538461538461 0.188679245283019 0.058252427184466 0.0769230769230769 0.0853658536585366 0.137254901960784 0.106382978723404 0.0789473684210526
"Usp24" 0.00769230769230769 0.0849056603773585 0.0485436893203883 0.0879120879120879 0.109756097560976 0.137254901960784 0.25531914893617 0.184210526315789
"Mcmbp" 0.0846153846153846 0.254716981132075 0.242718446601942 0.307692307692308 0.207317073170732 0.156862745098039 0.170212765957447 0.0789473684210526
"Agl" 0.0230769230769231 0.0754716981132075 0.16504854368932 0.0659340659340659 0.109756097560976 0.196078431372549 0.106382978723404 0
"Svil" 0.146153846153846 0.264150943396226 1.39805825242718 0.142857142857143 0.219512195121951 0.784313725490196 0.446808510638298 0
"Scn2b" 0.00769230769230769 0.0566037735849057 0.0388349514563107 0.010989010989011 0.024390243902439 0.0980392156862745 0 0
"Myo5a" 0.0384615384615385 0.207547169811321 0.0485436893203883 0.417582417582418 0.207317073170732 0.0784313725490196 0.0425531914893617 0
"Sppl3" 0.00769230769230769 0.141509433962264 0.16504854368932 0.142857142857143 0.0853658536585366 0.0980392156862745 0.106382978723404 0.0526315789473684
"Zfp638" 0.0615384615384615 0.160377358490566 0.145631067961165 0.153846153846154 0.219512195121951 0.0392156862745098 0.127659574468085 0.0526315789473684
"Dohh" 0.138461538461538 0.443396226415094 0.58252427184466 0.648351648351648 0.280487804878049 0.372549019607843 0.340425531914894 0.0526315789473684
"Ctc1" 0 0.0566037735849057 0.0776699029126214 0.032967032967033 0 0.0196078431372549 0 0.0526315789473684
