"0" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16"
"Limch1" 0.233009708737864 0.0323624595469256 0.0394736842105263 0.0043859649122807 0.0134529147982063 0 0 0.00934579439252336 0 0.010989010989011 0.0481927710843373 0 0 0.824561403508772 0.888888888888889 0 0.941176470588235
"Herc3" 0.0461165048543689 0 0.0657894736842105 0.0482456140350877 0.0134529147982063 0.0412371134020619 0 0.0467289719626168 0 0.0769230769230769 0.036144578313253 0 0.184210526315789 0.105263157894737 0.0666666666666667 0 0.176470588235294
"B4galt6" 0.0679611650485437 0 0.0263157894736842 0.671052631578947 0.0134529147982063 0.123711340206186 0.0869565217391304 0.233644859813084 0.02 0.428571428571429 0.108433734939759 0 0.0394736842105263 0.0350877192982456 0.0444444444444444 0 0.0588235294117647
"Robo2" 0.00485436893203883 0 0 0.0131578947368421 0 0 0.0260869565217391 0 0 0 0 0 0 0 0 0 0
"Arhgef7" 0.143203883495146 0.0226537216828479 0.161184210526316 0.153508771929825 0.0538116591928251 0.0154639175257732 0.00869565217391304 0.0934579439252336 0.03 0.0879120879120879 0.168674698795181 0.0394736842105263 0.131578947368421 0.087719298245614 0.111111111111111 0 1.11764705882353
"Psd" 0 0 0.00986842105263158 0.0219298245614035 0.00896860986547085 0 0 0.00934579439252336 0 0 0 0 0.0263157894736842 0.0350877192982456 0 0 0
"Emid1" 0.0461165048543689 0 0.00986842105263158 0 0.0179372197309417 0 0 0 0 0 0.0120481927710843 0 0.0131578947368421 0 0 0 0
"Apex2" 0.0728155339805825 0 0.0526315789473684 0.0131578947368421 0.0179372197309417 0.00515463917525773 0.0173913043478261 0.0467289719626168 0.07 0.010989010989011 0.0240963855421687 0 0 0.0526315789473684 0.0666666666666667 0 0
"Zfp273" 0.0194174757281553 0 0.0263157894736842 0.0087719298245614 0.0134529147982063 0 0 0 0 0.010989010989011 0.0240963855421687 0 0 0 0.0222222222222222 0 0
"Dock4" 0.114077669902913 0.0355987055016181 0.194078947368421 0.289473684210526 0.0582959641255605 0.00515463917525773 0.0173913043478261 0.299065420560748 0.01 0.395604395604396 0.228915662650602 0.0789473684210526 0.0394736842105263 0.0350877192982456 0.577777777777778 0 0.470588235294118
"Whrn" 0.0218446601941748 0 0.0394736842105263 0.0087719298245614 0.00448430493273543 0 0 0 0 0 0 0 0.0263157894736842 0.0175438596491228 0 0 0
"Acaa1a" 0.432038834951456 0.0614886731391586 0.457236842105263 0.258771929824561 0.318385650224215 0.0412371134020618 0.0956521739130435 0.401869158878505 0.16 0.351648351648352 0.168674698795181 0.157894736842105 0.118421052631579 0.333333333333333 0.266666666666667 0 0.411764705882353
"Ydjc" 0.0266990291262136 0.00647249190938511 0.0328947368421053 0.0175438596491228 0.0269058295964126 0.00515463917525773 0 0.0747663551401869 0 0.021978021978022 0.0240963855421687 0 0.0131578947368421 0.0175438596491228 0 0 0
"Setd4" 0.0655339805825243 0 0.0328947368421053 0.0394736842105263 0.0179372197309417 0 0 0.0373831775700935 0 0.010989010989011 0.0120481927710843 0 0.118421052631579 0.0175438596491228 0.0888888888888889 0 0
"9930021J03Rik" 0.283980582524272 0.0453074433656958 0.263157894736842 0.201754385964912 0.0762331838565022 0.0463917525773196 0.0434782608695652 0.102803738317757 0.14 0.120879120879121 0.289156626506024 0.0131578947368421 0.157894736842105 0.210526315789474 0.488888888888889 0 0.352941176470588
"Ubxn4" 0.604368932038835 0.592233009708738 0.671052631578947 0.820175438596491 0.36322869955157 0.525773195876289 0.147826086956522 0.766355140186916 0.58 0.846153846153846 0.433734939759036 0.289473684210526 0.815789473684211 0.403508771929825 0.755555555555556 0 1
"Snap47" 0.339805825242718 0.0970873786407767 0.328947368421053 0.0482456140350877 0.37219730941704 0.0206185567010309 0 0.00934579439252336 0.05 0.0549450549450549 0.036144578313253 0 0.131578947368421 0.12280701754386 0.222222222222222 0 0.117647058823529
"Sbf1" 0.0752427184466019 0.0711974110032362 0.0723684210526316 0.087719298245614 0.031390134529148 0.0309278350515464 0.0347826086956522 0.121495327102804 0.02 0.0549450549450549 0.132530120481928 0.0131578947368421 0.157894736842105 0.0701754385964912 0.133333333333333 0 0
"Ckap5" 0.20873786407767 0.0388349514563107 0.200657894736842 0.144736842105263 0.147982062780269 0.0824742268041237 0 0.121495327102804 0 0.186813186813187 0.240963855421687 0.0131578947368421 0.118421052631579 0.157894736842105 0.266666666666667 0 0.294117647058823
"Stambp" 0.12621359223301 0.0453074433656958 0.164473684210526 0.0789473684210526 0.062780269058296 0.0103092783505155 0.00869565217391304 0.0654205607476635 0.04 0.0549450549450549 0.072289156626506 0.0131578947368421 0.0394736842105263 0.0350877192982456 0.222222222222222 0 0.294117647058824
"Igf2bp1" 0.0194174757281553 0 0.0197368421052632 0.0219298245614035 0.0134529147982063 0 0 0.0280373831775701 0 0.010989010989011 0.036144578313253 0 0.0526315789473684 0 0.0222222222222222 0 0.0588235294117647
"Fbxo5" 0.029126213592233 0 0.0296052631578947 0.0350877192982456 0 0 0.0173913043478261 0.00934579439252336 0 0 0.0120481927710843 0 0.131578947368421 0.0350877192982456 0.0444444444444444 0 0
"Rnf170" 0.143203883495146 0 0.111842105263158 0.0482456140350877 0.0538116591928251 0 0 0.0747663551401869 0.01 0.043956043956044 0.0843373493975904 0 0.131578947368421 0.0701754385964912 0.111111111111111 0 0
"Usp24" 0.257281553398058 0.0970873786407767 0.213815789473684 0.307017543859649 0.165919282511211 0.0206185567010309 0.121739130434783 0.0467289719626168 0.05 0.142857142857143 0.36144578313253 0.0131578947368421 0.157894736842105 0.12280701754386 0.311111111111111 0 0.117647058823529
"Mcmbp" 0.315533980582524 0.13915857605178 0.302631578947368 0.324561403508772 0.130044843049327 0.15979381443299 0.130434782608696 0.233644859813084 0.07 0.208791208791209 0.240963855421687 0.0526315789473684 0.263157894736842 0.0350877192982456 0.355555555555556 0 0.705882352941176
